date,asset_i,asset_j,corr
2016-12-30,SPY,SPY,0.9999999999999999
2016-12-30,SPY,VEA,0.678069530877024
2016-12-30,SPY,EEM,0.6960089025192839
2016-12-30,SPY,IEF,-0.13536588146225043
2016-12-30,SPY,TLT,-0.15606682909126765
2016-12-30,SPY,TIP,-0.19643968751397883
2016-12-30,SPY,LQD,0.42639355770221304
2016-12-30,SPY,VNQ,0.22964930420244206
2016-12-30,SPY,GLD,0.21498068614068153
2016-12-30,SPY,DBC,0.2234256200655147
2016-12-30,VEA,SPY,0.678069530877024
2016-12-30,VEA,VEA,1.0
2016-12-30,VEA,EEM,0.6944233366300212
2016-12-30,VEA,IEF,-0.09675488309417113
2016-12-30,VEA,TLT,-0.1254561864796347
2016-12-30,VEA,TIP,-0.12964563516607522
2016-12-30,VEA,LQD,0.46386088332196646
2016-12-30,VEA,VNQ,0.2168715130183316
2016-12-30,VEA,GLD,0.24904226120437173
2016-12-30,VEA,DBC,0.22227029153033984
2016-12-30,EEM,SPY,0.6960089025192839
2016-12-30,EEM,VEA,0.6944233366300212
2016-12-30,EEM,EEM,0.9999999999999999
2016-12-30,EEM,IEF,-0.1526176467046232
2016-12-30,EEM,TLT,-0.16778699784175227
2016-12-30,EEM,TIP,-0.20658220379429157
2016-12-30,EEM,LQD,0.42613093557027754
2016-12-30,EEM,VNQ,0.16421145091428502
2016-12-30,EEM,GLD,0.21356671825197218
2016-12-30,EEM,DBC,0.1347109585080557
2016-12-30,IEF,SPY,-0.13536588146225043
2016-12-30,IEF,VEA,-0.09675488309417113
2016-12-30,IEF,EEM,-0.1526176467046232
2016-12-30,IEF,IEF,0.9999999999999999
2016-12-30,IEF,TLT,0.7240978457298842
2016-12-30,IEF,TIP,0.7217063134297471
2016-12-30,IEF,LQD,0.16974074556858695
2016-12-30,IEF,VNQ,0.06274354806771763
2016-12-30,IEF,GLD,0.10652311402847277
2016-12-30,IEF,DBC,0.13789002473155193
2016-12-30,TLT,SPY,-0.15606682909126765
2016-12-30,TLT,VEA,-0.1254561864796347
2016-12-30,TLT,EEM,-0.16778699784175227
2016-12-30,TLT,IEF,0.7240978457298842
2016-12-30,TLT,TLT,1.0
2016-12-30,TLT,TIP,0.7579722145531539
2016-12-30,TLT,LQD,0.07292060959846533
2016-12-30,TLT,VNQ,0.1015733906456612
2016-12-30,TLT,GLD,0.1302164908467249
2016-12-30,TLT,DBC,0.16534649947765725
2016-12-30,TIP,SPY,-0.19643968751397883
2016-12-30,TIP,VEA,-0.12964563516607522
2016-12-30,TIP,EEM,-0.20658220379429157
2016-12-30,TIP,IEF,0.7217063134297471
2016-12-30,TIP,TLT,0.7579722145531539
2016-12-30,TIP,TIP,1.0
2016-12-30,TIP,LQD,0.08560264019803772
2016-12-30,TIP,VNQ,0.04359993186998594
2016-12-30,TIP,GLD,0.133959984068614
2016-12-30,TIP,DBC,0.16048844096610096
2016-12-30,LQD,SPY,0.42639355770221304
