date,asset_i,asset_j,cov
2016-12-30,SPY,SPY,0.00010516847555282477
2016-12-30,SPY,VEA,7.328821683142633e-05
2016-12-30,SPY,EEM,9.319990296872502e-05
2016-12-30,SPY,IEF,-6.367919199379512e-06
2016-12-30,SPY,TLT,-1.076162927725837e-05
2016-12-30,SPY,TIP,-9.267233569168738e-06
2016-12-30,SPY,LQD,2.5158322240667993e-05
2016-12-30,SPY,VNQ,2.2106974447341138e-05
2016-12-30,SPY,GLD,1.9555483910663027e-05
2016-12-30,SPY,DBC,2.699031923751751e-05
2016-12-30,VEA,SPY,7.328821683142633e-05
2016-12-30,VEA,VEA,0.00011107959096399425
2016-12-30,VEA,EEM,9.556510016749372e-05
2016-12-30,VEA,IEF,-4.677734491664461e-06
2016-12-30,VEA,TLT,-8.890656868165761e-06
2016-12-30,VEA,TIP,-6.285692347945716e-06
2016-12-30,VEA,LQD,2.8127629853593713e-05
2016-12-30,VEA,VNQ,2.145561814525072e-05
2016-12-30,VEA,GLD,2.3281798172938113e-05
2016-12-30,VEA,DBC,2.7595026479820374e-05
2016-12-30,EEM,SPY,9.319990296872502e-05
2016-12-30,EEM,VEA,9.556510016749372e-05
2016-12-30,EEM,EEM,0.00017049661161875392
2016-12-30,EEM,IEF,-9.141304338517294e-06
2016-12-30,EEM,TLT,-1.4731291074225127e-05
2016-12-30,EEM,TIP,-1.2408773785635549e-05
2016-12-30,EEM,LQD,3.2013207639299106e-05
2016-12-30,EEM,VNQ,2.0127169340548456e-05
2016-12-30,EEM,GLD,2.4735334262939918e-05
2016-12-30,EEM,DBC,2.0720157991419563e-05
2016-12-30,IEF,SPY,-6.367919199379512e-06
2016-12-30,IEF,VEA,-4.677734491664461e-06
2016-12-30,IEF,EEM,-9.141304338517294e-06
2016-12-30,IEF,IEF,2.1042196811071685e-05
2016-12-30,IEF,TLT,2.2334046998616414e-05
2016-12-30,IEF,TIP,1.5229446818565453e-05
2016-12-30,IEF,LQD,4.479813109463606e-06
2016-12-30,IEF,VNQ,2.701693008932028e-06
2016-12-30,IEF,GLD,4.334267648305684e-06
2016-12-30,IEF,DBC,7.4509328382918715e-06
2016-12-30,TLT,SPY,-1.076162927725837e-05
2016-12-30,TLT,VEA,-8.890656868165761e-06
2016-12-30,TLT,EEM,-1.4731291074225127e-05
2016-12-30,TLT,IEF,2.2334046998616414e-05
2016-12-30,TLT,TLT,4.521153604644261e-05
2016-12-30,TLT,TIP,2.3445311211550996e-05
2016-12-30,TLT,LQD,2.8210005670987715e-06
2016-12-30,TLT,VNQ,6.411002807875128e-06
2016-12-30,TLT,GLD,7.766349879351794e-06
2016-12-30,TLT,DBC,1.3096398946449675e-05
2016-12-30,TIP,SPY,-9.267233569168738e-06
2016-12-30,TIP,VEA,-6.285692347945716e-06
2016-12-30,TIP,EEM,-1.2408773785635549e-05
2016-12-30,TIP,IEF,1.5229446818565453e-05
2016-12-30,TIP,TLT,2.3445311211550996e-05
2016-12-30,TIP,TIP,2.1161973688359368e-05
2016-12-30,TIP,LQD,2.2656535261902956e-06
2016-12-30,TIP,VNQ,1.8827180298068004e-06
2016-12-30,TIP,GLD,5.466124326864744e-06
2016-12-30,TIP,DBC,8.696692277534564e-06
2016-12-30,LQD,SPY,2.5158322240667993e-05
2016-12-30,LQD,VEA,2.8127629853593713e-05
2016-12-30,LQD,EEM,3.2013207639299106e-05
2016-12-30,LQD,IEF,4.479813109463606e-06
2016-12-30,LQD,TLT,2.8210005670987715e-06
2016-12-30,LQD,TIP,2.2656535261902956e-06
2016-12-30,LQD,LQD,3.3102172951716136e-05
2016-12-30,LQD,VNQ,4.546970897209423e-06
2016-12-30,LQD,GLD,1.0450512059074975e-05
2016-12-30,LQD,DBC,4.986664701074171e-06
2016-12-30,VNQ,SPY,2.2106974447341138e-05
2016-12-30,VNQ,VEA,2.145561814525072e-05
2016-12-30,VNQ,EEM,2.0127169340548456e-05
2016-12-30,VNQ,IEF,2.701693008932028e-06
2016-12-30,VNQ,TLT,6.411002807875128e-06
2016-12-30,VNQ,TIP,1.8827180298068004e-06
2016-12-30,VNQ,LQD,4.546970897209423e-06
2016-12-30,VNQ,VNQ,8.811356482775935e-05
2016-12-30,VNQ,GLD,9.369606110360906e-06
2016-12-30,VNQ,DBC,3.133741107731895e-05
2016-12-30,GLD,SPY,1.9555483910663027e-05
2016-12-30,GLD,VEA,2.3281798172938113e-05
2016-12-30,GLD,EEM,2.4735334262939918e-05
2016-12-30,GLD,IEF,4.334267648305684e-06
2016-12-30,GLD,TLT,7.766349879351794e-06
2016-12-30,GLD,TIP,5.466124326864744e-06
2016-12-30,GLD,LQD,1.0450512059074975e-05
2016-12-30,GLD,VNQ,9.369606110360906e-06
2016-12-30,GLD,GLD,7.867788312634007e-05
2016-12-30,GLD,DBC,2.1615608920125127e-05
2016-12-30,DBC,SPY,2.699031923751751e-05
2016-12-30,DBC,VEA,2.7595026479820374e-05
2016-12-30,DBC,EEM,2.0720157991419563e-05
2016-12-30,DBC,IEF,7.4509328382918715e-06
2016-12-30,DBC,TLT,1.3096398946449675e-05
2016-12-30,DBC,TIP,8.696692277534564e-06
2016-12-30,DBC,LQD,4.986664701074171e-06
2016-12-30,DBC,VNQ,3.133741107731895e-05
2016-12-30,DBC,GLD,2.1615608920125127e-05
2016-12-30,DBC,DBC,0.0001387600731740739
2017-01-31,SPY,SPY,0.00010216292938115541
2017-01-31,SPY,VEA,7.183405546256354e-05
2017-01-31,SPY,EEM,9.158019754533342e-05
2017-01-31,SPY,IEF,-6.530151437543234e-06
2017-01-31,SPY,TLT,-1.0822703221992875e-05
2017-01-31,SPY,TIP,-8.966349909577584e-06
2017-01-31,SPY,LQD,2.396549373394845e-05
2017-01-31,SPY,VNQ,2.088436847666057e-05
2017-01-31,SPY,GLD,2.1244451492586104e-05
2017-01-31,SPY,DBC,2.8497973401714232e-05
2017-01-31,VEA,SPY,7.183405546256354e-05
2017-01-31,VEA,VEA,0.00010937387803823787
2017-01-31,VEA,EEM,9.44263755109197e-05
2017-01-31,VEA,IEF,-5.603764010962553e-06
2017-01-31,VEA,TLT,-9.66342640335309e-06
2017-01-31,VEA,TIP,-6.915468190192205e-06
2017-01-31,VEA,LQD,2.721610229683999e-05
2017-01-31,VEA,VNQ,2.1347789970256606e-05
2017-01-31,VEA,GLD,2.5469402692564176e-05
2017-01-31,VEA,DBC,2.73832937883622e-05
2017-01-31,EEM,SPY,9.158019754533342e-05
2017-01-31,EEM,VEA,9.44263755109197e-05
2017-01-31,EEM,EEM,0.00017015295583465664
2017-01-31,EEM,IEF,-8.762020718991598e-06
2017-01-31,EEM,TLT,-1.3803410501843499e-05
2017-01-31,EEM,TIP,-1.1417103909658097e-05
2017-01-31,EEM,LQD,3.1981872025159185e-05
2017-01-31,EEM,VNQ,1.974258503805769e-05
2017-01-31,EEM,GLD,3.0390932677851626e-05
2017-01-31,EEM,DBC,2.28189199298736e-05
2017-01-31,IEF,SPY,-6.530151437543234e-06
2017-01-31,IEF,VEA,-5.603764010962553e-06
2017-01-31,IEF,EEM,-8.762020718991598e-06
2017-01-31,IEF,IEF,2.088123080692131e-05
2017-01-31,IEF,TLT,2.209138165035858e-05
2017-01-31,IEF,TIP,1.505338675696707e-05
2017-01-31,IEF,LQD,4.6245597746513714e-06
2017-01-31,IEF,VNQ,1.9642859311203993e-06
2017-01-31,IEF,GLD,4.449769096370374e-06
2017-01-31,IEF,DBC,7.835975922231285e-06
2017-01-31,TLT,SPY,-1.0822703221992875e-05
2017-01-31,TLT,VEA,-9.66342640335309e-06
2017-01-31,TLT,EEM,-1.3803410501843499e-05
2017-01-31,TLT,IEF,2.209138165035858e-05
2017-01-31,TLT,TLT,4.4591062442796946e-05
2017-01-31,TLT,TIP,2.3104020273001124e-05
2017-01-31,TLT,LQD,2.781931655977303e-06
2017-01-31,TLT,VNQ,6.995309316493986e-06
2017-01-31,TLT,GLD,7.332178049767272e-06
2017-01-31,TLT,DBC,1.2759340638639918e-05
