asset,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-29,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29,2024-03-29,2024-04-30,2024-05-31,2024-06-28,2024-07-31,2024-08-30,2024-09-30,2024-10-31,2024-11-29
DBC,0.10023655689687982,0.1000725925613745,0.10113181417516826,0.09931816813750789,0.09907514459022847,0.09950559467401592,0.09979780852541507,0.09885760860093062,0.10093550166543437,0.10048766584865775,0.10135977978316603,0.1006707320805248,0.10077496792879587,0.10125973638800469,0.1017921920112006,0.0998003452923083,0.1014893861558686,0.1034948297953611,0.10294995589637379,0.10323303716934411,0.1053687317792155,0.1058975416207399,0.10613712415022676,0.1061013068324785,0.10652102443821937,0.10673275339345452,0.10491154792452777,0.10593115738159099,0.1056964131114478,0.10730379297481087,0.10662123669329189,0.10649221280586667,0.10800905104639823,0.10801164007279951,0.10916982000364843,0.10925745160182372,0.10792671721586704,0.1083107251683139,0.10905639596566524,0.10945367280044606,0.1099512121209083,0.10930967552340604,0.10942405115297597,0.10822060983282948,0.10640785374725499,0.1060844422632472,0.10705435546392998,0.10640065630779194,0.10728186781007991,0.10678551677906047,0.10862527175579706,0.10731732058313853,0.10607980625185832,0.1068840271350318,0.10787109387885237,0.10571478811434908,0.10412721564378506,0.10335975674616506,0.10412188627369044,0.1043490515146912,0.10451406238047393,0.10515005597917804,0.10486354655265663,0.10505750640333693,0.1034596617251095,0.10400265868410767,0.10417284016472433,0.10462039899999137,0.10483151478281283,0.10293548482179217,0.10274509307591277,0.1038850841238862,0.10463036115783976
EEM,0.10106910413832526,0.09838003310628196,0.09940110595030323,0.09841007535037848,0.09862892339308638,0.09918827030890824,0.09697353979404937,0.09849009935261244,0.09922536455461563,0.09818342329609465,0.09511115428084722,0.0935047833234786,0.0933052601305039,0.09623714724435085,0.0970263085683432,0.09845664863906252,0.1013380136724535,0.1003766252219277,0.1002292487854045,0.0990756025912765,0.09335120744255336,0.09092268675110138,0.0953479916484002,0.09147727417146116,0.08891636889089437,0.08563128030783557,0.08627229218388344,0.08605182447700989,0.08870025292885435,0.08885700378857764,0.08717271608506698,0.08867391464795871,0.08913931742407855,0.09332794869894738,0.09102644239732194,0.09045926136992317,0.09426802092031304,0.09477290071448508,0.09620863796072265,0.09414907820619674,0.09378464199168757,0.09357497177906153,0.09075962775979557,0.0905592592038943,0.08930841218631393,0.08997469687358817,0.08958486756017087,0.09057241131131644,0.08971357852243957,0.0892098587028599,0.08713819371150915,0.08327914907335224,0.08160796196845826,0.08229152481871684,0.08342377825562282,0.08133372922833747,0.08118112926504491,0.07926841412727807,0.08143101017232636,0.08269592428624303,0.08525972703891704,0.08672667199129193,0.0894474173034,0.08987229016389726,0.09504302714014203,0.09502929535011584,0.09689733704172192,0.0961087394358815,0.09468788903598542,0.0952160784552194,0.09342249653151069,0.09047684038863286,0.09018210232985603
GLD,0.10621241798156393,0.1063492696151231,0.10661723738235003,0.10709829584462371,0.10851109574602584,0.10821633827549271,0.1084183987507028,0.10944230283441403,0.1079564390129517,0.10906516869096276,0.1096435454120317,0.11032580454369928,0.11053276733311325,0.11338373096450327,0.11168620005787845,0.11172318090705032,0.110975944579849,0.1110666276661078,0.11277758842977766,0.11302248455333803,0.11326674695564914,0.11417957945366893,0.11309473081875637,0.11409031617774563,0.11357630546697627,0.1137053588359368,0.11426344650739013,0.1146091916010467,0.11424642565105486,0.11389039052010676,0.11486646225597236,0.11594298096799487,0.11678838060986367,0.1147938816943746,0.11465821618073442,0.11473536476929692,0.11491346112084459,0.11419513141150987,0.11489368790878113,0.11417316050891158,0.11371178045749651,0.1134944069593367,0.11234222312622764,0.1135559800317724,0.11197605009837842,0.11098897949876309,0.11191768881246911,0.1112434696670435,0.11099392712894209,0.11302216475407217,0.1135188902287792,0.11485583648553299,0.11508173540630169,0.11496219298431891,0.1164937610158737,0.11754050278141633,0.11718686871469537,0.1168800600745548,0.11687658081734793,0.11647928936061426,0.11708740514552914,0.1168763593253218,0.1177904880116117,0.11829613334414035,0.11646586785129397,0.11632239675069382,0.11524770655214044,0.1147764456201461,0.11604774175136597,0.11569682210951567,0.11585412856844444,0.1165137769245194,0.1163234752031777
IEF,0.09429355310705367,0.09342462935459483,0.09307207326692803,0.09320060323820846,0.0987297953531352,0.09903190103518296,0.09884979535186574,0.09824348137579685,0.09350953409799685,0.0977379246638253,0.0976538686000258,0.09922695103439914,0.09918514367884403,0.0982801829732845,0.0982957371309851,0.09884394426028104,0.10083144737737774,0.1008376076638311,0.09977588166937552,0.0998533088035124,0.09961298986257737,0.09959910215449104,0.10152137941035515,0.10107227214939796,0.10415988546956967,0.10424393808757959,0.104563383065508,0.10457713200227835,0.10220011138576053,0.1021702845677568,0.10166927626576468,0.10357592318268154,0.10398488623317546,0.10377900546630427,0.10406075280583156,0.10586012952107687,0.10588813951530747,0.10573806399649867,0.10563334050539157,0.10577546130649036,0.10552227985069602,0.10587471120889451,0.10923537050085542,0.10963164703636151,0.10858083836475323,0.11002652612712771,0.10875575789995139,0.11103088347916902,0.1084459791534313,0.1080077157993324,0.10510129460658595,0.1047794711412904,0.10491003428134564,0.10498957116694246,0.1046937009348597,0.10488915004523423,0.10487762040996414,0.10112498035797308,0.10045830502548164,0.10036870426201823,0.10223140259178994,0.10417543318409624,0.10373367944380024,0.10353125253527473,0.10416510022960619,0.10449378476569597,0.10419969957270474,0.1043825824318595,0.10187035732454974,0.1024806283212285,0.10219218452056154,0.1011598231475494,0.10118805139591185
LQD,0.09801576229546044,0.09866457175345593,0.09835858602695573,0.09907832317717387,0.09924228057126294,0.09984166359689683,0.10141678072321736,0.10350017662110954,0.10269540922159416,0.10155564346818173,0.1022178780670614,0.1036370140003382,0.1042432829569528,0.10499352140646427,0.1033912212397249,0.10340864596545829,0.10284622147838383,0.10235916334628366,0.10241914229453301,0.10222761712951105,0.10174713658276634,0.10258922910942059,0.10171630464597957,0.1040168901947899,0.1030774635841293,0.10189415198206386,0.1006885885565883,0.10016376676583012,0.10136833674695356,0.10157789030706797,0.10044770991758113,0.09977437257262313,0.0986342655296978,0.09593344700619506,0.09621651499729626,0.09515677381008326,0.09630416180488706,0.09631376071326198,0.09612426988474436,0.09570381793762527,0.09419993366484253,0.09302526616179983,0.0920682959666625,0.09108375832644937,0.08994047832742767,0.08890437530591129,0.08791550914876216,0.08778373674181801,0.08829064075918203,0.08868790034192743,0.0897330658940016,0.09038634156587462,0.09151330319120797,0.09302339279545113,0.0943832520420403,0.09456326200161563,0.09481921310962273,0.09391376232165664,0.09290886914140987,0.0929598538924815,0.09416144626713617,0.09256985792919244,0.09242503767575844,0.09247623336572268,0.09139983740297553,0.09095041056621929,0.09075345991199919,0.09151582838694056,0.09314303526110136,0.09354517004129494,0.09311887712509925,0.09165658773803463,0.09029005198290803
SPY,0.09573266778048996,0.09632296217631524,0.09447723226329684,0.0933392954196583,0.09260612725810834,0.09243503580869933,0.09056077418898396,0.08813836915031549,0.08612469181607296,0.09003155455950657,0.09070489211040544,0.09021554558082993,0.08930800029620621,0.0862573699607229,0.08442064289994315,0.08364612244532094,0.0823103721772321,0.08241084088069203,0.08042466143824197,0.08123621113394497,0.0836878193920997,0.08404937991379417,0.0823956463026256,0.08528247751056495,0.08658050999499733,0.08796893314716524,0.0882806050206471,0.09014635848583408,0.09117929031661827,0.09100135048127977,0.0900276029432433,0.08718355030788023,0.08928925781127163,0.09037803821737633,0.09075119077868621,0.0918524016909484,0.09003717935913143,0.09032985679073995,0.09176516303016351,0.09301286408529451,0.09401806887248272,0.09553557496117039,0.0973711600104933,0.0972127784129781,0.09517714497367867,0.0956773918878796,0.09437394873312631,0.0926775803985783,0.09495997487195652,0.0963373911392379,0.09770671571082867,0.10156815152541931,0.10206197354715407,0.1026616255087041,0.1016483660392501,0.1031114818857022,0.10355172060497948,0.10522938733033506,0.10388930984279533,0.10432580477393444,0.102374277112663,0.09941718911042692,0.09490724129693028,0.09325134289383281,0.09083566323615287,0.09171822915898649,0.09174286208887229,0.0922713033639813,0.08985106835433321,0.09084282387777907,0.09083495468341894,0.09170256755067928,0.093553753318677
TIP,0.11132099794787602,0.11111863877518674,0.11169480055377017,0.11264549795477213,0.1086104315387618,0.10814285315862181,0.10822778296489494,0.10753295057599792,0.107713766902176,0.10621628096817026,0.10613499834528417,0.10282363221831836,0.10251330389007296,0.1033311440792864,0.1031508108155111,0.10334050733679893,0.10072564276849026,0.10054778762689266,0.1003288725578211,0.10014196976924188,0.09958131446735308,0.09831983616212926,0.0960409068535303,0.09962109064159151,0.10149585297882596,0.10155763931466287,0.10138358812842645,0.10107549160721356,0.10063644578586783,0.10019224829828295,0.10178730781363336,0.09763319806428462,0.09772582553726496,0.0978202637689234,0.0975502520231377,0.0985713900874297,0.09798069033303759,0.0977491239233566,0.09751193871287796,0.0980728077766636,0.09804993671763407,0.09813668494272054,0.0971305720844121,0.09731173083049906,0.1000716257870134,0.10040325912157226,0.10343463510590772,0.09940386491531533,0.10145683067079236,0.10145904703014486,0.10633790015223576,0.10477468626687869,0.10512155940899093,0.10476459187047267,0.1044352999938533,0.10526384946645713,0.1053879179086115,0.1083202436633467,0.1086209697288295,0.10916334029410074,0.10647710051314867,0.1072852024114932,0.10691298519823844,0.10622479768364668,0.10714175153957291,0.1072846866342722,0.10727242936705234,0.10708593818538986,0.10898038812099613,0.1072125774568085,0.10709389868271733,0.10875738876640241,0.10885588888753626
TLT,0.1022317284822722,0.103005695697846,0.10350412123846099,0.10275935669491292,0.10061803263260037,0.100643538937335,0.10077806377597903,0.10114122132089837,0.10657223306941634,0.10483577335204626,0.10488691263179135,0.1055811102977735,0.10486909979862576,0.10452118688280843,0.1057314247256903,0.10605007368741297,0.10646559305593033,0.10622614579264393,0.10557870708261687,0.10559892872241683,0.10533620823590777,0.10444455803020573,0.10535486289804213,0.0999566261445655,0.09615609211642523,0.09666545113254627,0.09700536819018275,0.09717379740887196,0.10002881230301697,0.09971528330468123,0.09958356773389243,0.10054934843615022,0.10013068645579187,0.1014649247610569,0.10159470262245403,0.09823443095452823,0.09801891441704069,0.0981266277069147,0.09872974138446582,0.09923839566911803,0.0998610141228281,0.10118555661272582,0.0992236930005747,0.0993876267303964,0.09842142481383533,0.09762116656964846,0.09604250467936108,0.09896681347057028,0.09833224876899527,0.09833836863570794,0.0953629302179841,0.09683965041948987,0.09684889176545697,0.0968762273361443,0.0963365524801247,0.09613451392356416,0.09641653483062307,0.09748460118716394,0.0993736139359764,0.0996338657245044,0.09959708098838767,0.09774993910666663,0.09743945215037784,0.09781535400918144,0.09764065027552477,0.09806517205732512,0.09935991429148777,0.0996559762727684,0.09831520330025634,0.10032850460478397,0.09991330682471856,0.09883063993880163,0.09923780333865789
VEA,0.08727598939268377,0.0888757543632086,0.08880264269815986,0.09127073401284926,0.09169345162767213,0.09114233321543451,0.09331366655527447,0.09266458681576634,0.09483196781591892,0.09208104420232555,0.0929418600991122,0.09262984434477557,0.09361521572452196,0.09355499919825,0.09685755036321576,0.0966153407553353,0.09500331076936767,0.09520949195553687,0.09624448517503574,0.09683114593743407,0.09901514488785194,0.09945771452743864,0.09902667040423412,0.09681255987525804,0.0985813546571408,0.10057830158513077,0.10044809655556634,0.09895655923944703,0.09528259202501115,0.09551491977283648,0.09834714205093116,0.10009749715795013,0.0999367233520634,0.09767795557946407,0.09884629151783947,0.0977138136926111,0.09550500194788868,0.0943659583385837,0.09132311767443146,0.09224476085780857,0.09253243363476431,0.09317874127155511,0.09515512751934097,0.09679614896960416,0.10217042079398132,0.10335787236313287,0.10411501786639164,0.10592893510020417,0.10410256030874172,0.1024651174746428,0.10158451098195916,0.10141722520377729,0.1017712860473059,0.09998256926206943,0.09737959412347758,0.0987477868966929,0.09922628799262469,0.10042098189852393,0.1010523008402856,0.0999973901476437,0.09884433906523397,0.10114104909584765,0.10234389240237374,0.10243884395429763,0.10123506378341661,0.09975108807177817,0.0978447818322783,0.09780262325675887,0.09857755644238853,0.0985859462874936,0.09944570993306164,0.10186412527366186,0.10180407881448295
VNQ,0.10361122197739452,0.10378585259661281,0.10294038644460642,0.1028796501699147,0.10228471728911813,0.1018524709894123,0.10166338936961665,0.10198920335215811,0.10043509184382256,0.0998055209502287,0.0993451106702743,0.1013845825758622,0.1016529582623627,0.0981809809023243,0.09764791218750707,0.09811519071097101,0.09801406796504643,0.0974708800507227,0.09927145667081931,0.0987796941899798,0.09903270039402544,0.10054037227700986,0.09936438286784943,0.1015691863021464,0.10093514240282127,0.101022192213624,0.10218308386727926,0.10131472103087691,0.10066131974541437,0.09977683598459908,0.09947697824062217,0.10007700185660935,0.096361606000394,0.09681289473455797,0.09612581667304965,0.09815898250227817,0.09915771336568191,0.10009785123633523,0.09875370697275587,0.0981759808514448,0.09836869856665931,0.09668441057932915,0.09728987887866136,0.09624046062521475,0.09794575090736264,0.09696128998912877,0.0968057147299294,0.09599164860819283,0.09642239200543885,0.09568691934301377,0.09489122674031907,0.09478216773524557,0.09500344813191973,0.09356427712214781,0.09333460123604494,0.09270093565663053,0.0932254915200485,0.09399781229300219,0.0912671542218566,0.09002677574376806,0.08945315889672013,0.08890824186648473,0.0901362599648523,0.091036245646669,0.09261337681620513,0.09238227796080496,0.09250896917701827,0.09178016404628207,0.09369524562621016,0.09315596402408384,0.09537935005455433,0.0951531661478318,0.09393443357095203
