date,strategy,asset,ctr
2018-11-30,ERC,SPY,0.09999997647840352
2018-11-30,ERC,VEA,0.09999996510234106
2018-11-30,ERC,EEM,0.09999965105262952
2018-11-30,ERC,IEF,0.09999996424766149
2018-11-30,ERC,TLT,0.1000000975738311
2018-11-30,ERC,TIP,0.09999980704437729
2018-11-30,ERC,LQD,0.10000042999564353
2018-11-30,ERC,VNQ,0.10000011556881618
2018-11-30,ERC,GLD,0.1000001516345812
2018-11-30,ERC,DBC,0.09999984130171523
2018-11-30,CTB_ONLY,SPY,0.087198050469188
2018-11-30,CTB_ONLY,VEA,0.06182803805854276
2018-11-30,CTB_ONLY,EEM,0.10320801040234476
2018-11-30,CTB_ONLY,IEF,0.08288073075642088
2018-11-30,CTB_ONLY,TLT,0.10669499016916971
2018-11-30,CTB_ONLY,TIP,0.13396337924542692
2018-11-30,CTB_ONLY,LQD,0.09404642697688843
2018-11-30,CTB_ONLY,VNQ,0.11083343491193626
2018-11-30,CTB_ONLY,GLD,0.11863695079164266
2018-11-30,CTB_ONLY,DBC,0.10070998821843961
2018-11-30,RB_CTB_BAND,SPY,0.09999997639387842
2018-11-30,RB_CTB_BAND,VEA,0.0999999650171676
2018-11-30,RB_CTB_BAND,EEM,0.09999965096000163
2018-11-30,RB_CTB_BAND,IEF,0.09999996431707883
2018-11-30,RB_CTB_BAND,TLT,0.10000009770381585
2018-11-30,RB_CTB_BAND,TIP,0.09999980755382398
2018-11-30,RB_CTB_BAND,LQD,0.10000042991384948
2018-11-30,RB_CTB_BAND,VNQ,0.10000011545143125
2018-11-30,RB_CTB_BAND,GLD,0.10000015151846804
2018-11-30,RB_CTB_BAND,DBC,0.09999984117048477
2018-12-31,ERC,SPY,0.09999996795794816
2018-12-31,ERC,VEA,0.09999996903592552
2018-12-31,ERC,EEM,0.09999963744846493
2018-12-31,ERC,IEF,0.09999999043729628
2018-12-31,ERC,TLT,0.10000008930404977
2018-12-31,ERC,TIP,0.0999997922533075
2018-12-31,ERC,LQD,0.10000043614781723
2018-12-31,ERC,VNQ,0.10000011161277331
2018-12-31,ERC,GLD,0.10000015647599131
2018-12-31,ERC,DBC,0.0999998493264262
2018-12-31,CTB_ONLY,SPY,0.08843117399838953
2018-12-31,CTB_ONLY,VEA,0.06663682310774252
2018-12-31,CTB_ONLY,EEM,0.09454622215133694
2018-12-31,CTB_ONLY,IEF,0.07981828195689963
2018-12-31,CTB_ONLY,TLT,0.11007004270606449
2018-12-31,CTB_ONLY,TIP,0.13418484099689182
2018-12-31,CTB_ONLY,LQD,0.09656042847327
2018-12-31,CTB_ONLY,VNQ,0.11078022739386462
2018-12-31,CTB_ONLY,GLD,0.11875362821166725
2018-12-31,CTB_ONLY,DBC,0.10021833100387331
2018-12-31,RB_CTB_BAND,SPY,0.10053774457260815
2018-12-31,RB_CTB_BAND,VEA,0.09999047094595788
2018-12-31,RB_CTB_BAND,EEM,0.10059423971904417
2018-12-31,RB_CTB_BAND,IEF,0.10045561566958873
2018-12-31,RB_CTB_BAND,TLT,0.09894695508342392
2018-12-31,RB_CTB_BAND,TIP,0.09917128307536095
2018-12-31,RB_CTB_BAND,LQD,0.09943285063928063
2018-12-31,RB_CTB_BAND,VNQ,0.10057721878320057
2018-12-31,RB_CTB_BAND,GLD,0.10029402415771084
2018-12-31,RB_CTB_BAND,DBC,0.09999959735382409
2019-01-31,ERC,SPY,0.09999996127335184
2019-01-31,ERC,VEA,0.0999999678818092
2019-01-31,ERC,EEM,0.0999996296048488
2019-01-31,ERC,IEF,0.09999997022195659
2019-01-31,ERC,TLT,0.10000009193935287
2019-01-31,ERC,TIP,0.09999979781055503
2019-01-31,ERC,LQD,0.10000044412032047
2019-01-31,ERC,VNQ,0.10000011770557964
2019-01-31,ERC,GLD,0.10000015599677242
2019-01-31,ERC,DBC,0.09999986344545328
2019-01-31,CTB_ONLY,SPY,0.08265133372888457
2019-01-31,CTB_ONLY,VEA,0.06617955511763057
2019-01-31,CTB_ONLY,EEM,0.09802043142484752
2019-01-31,CTB_ONLY,IEF,0.07947545233611676
2019-01-31,CTB_ONLY,TLT,0.11059951674957624
2019-01-31,CTB_ONLY,TIP,0.13535930762589332
2019-01-31,CTB_ONLY,LQD,0.09565777152949424
2019-01-31,CTB_ONLY,VNQ,0.10837652587073354
2019-01-31,CTB_ONLY,GLD,0.11976119831239093
2019-01-31,CTB_ONLY,DBC,0.10391890730443216
2019-01-31,RB_CTB_BAND,SPY,0.10078040178765421
2019-01-31,RB_CTB_BAND,VEA,0.10022840509503993
2019-01-31,RB_CTB_BAND,EEM,0.10018325682121343
2019-01-31,RB_CTB_BAND,IEF,0.09974079724271093
2019-01-31,RB_CTB_BAND,TLT,0.09991275502645404
2019-01-31,RB_CTB_BAND,TIP,0.09972529622486226
2019-01-31,RB_CTB_BAND,LQD,0.09941754243105268
2019-01-31,RB_CTB_BAND,VNQ,0.10044451575750621
2019-01-31,RB_CTB_BAND,GLD,0.10009035783788688
2019-01-31,RB_CTB_BAND,DBC,0.09947667177561956
2019-02-28,ERC,SPY,0.09999997057665382
2019-02-28,ERC,VEA,0.09999997008881863
2019-02-28,ERC,EEM,0.09999964355965779
2019-02-28,ERC,IEF,0.09999994956190887
2019-02-28,ERC,TLT,0.1000000977712879
2019-02-28,ERC,TIP,0.09999982929736384
2019-02-28,ERC,LQD,0.10000041457127404
2019-02-28,ERC,VNQ,0.10000011737273654
2019-02-28,ERC,GLD,0.10000015797752003
2019-02-28,ERC,DBC,0.09999984922277866
2019-02-28,CTB_ONLY,SPY,0.08013997405320317
2019-02-28,CTB_ONLY,VEA,0.07427671430575697
2019-02-28,CTB_ONLY,EEM,0.09520694957852859
2019-02-28,CTB_ONLY,IEF,0.07955902679545158
2019-02-28,CTB_ONLY,TLT,0.10689184417149407
2019-02-28,CTB_ONLY,TIP,0.13596803808691182
2019-02-28,CTB_ONLY,LQD,0.09924961260802115
2019-02-28,CTB_ONLY,VNQ,0.10873867004474849
2019-02-28,CTB_ONLY,GLD,0.12257195006867802
2019-02-28,CTB_ONLY,DBC,0.09739722028720631
2019-02-28,RB_CTB_BAND,SPY,0.099877941629118
2019-02-28,RB_CTB_BAND,VEA,0.09953551764397238
2019-02-28,RB_CTB_BAND,EEM,0.1000236329129492
2019-02-28,RB_CTB_BAND,IEF,0.10004283335726516
2019-02-28,RB_CTB_BAND,TLT,0.10138612814195684
2019-02-28,RB_CTB_BAND,TIP,0.10196862648004087
2019-02-28,RB_CTB_BAND,LQD,0.09798494235222652
