asset,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-29,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-28,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-29,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29,2024-03-28,2024-04-30,2024-05-31,2024-06-28,2024-07-31,2024-08-30,2024-09-30,2024-10-31,2024-11-29
DBC,0.0855315246909093,0.08839569286170885,0.0899378692301142,0.0886612282872634,0.09378308315030941,0.09607851403300781,0.1034395982153256,0.1072916789635146,0.11012144154496877,0.11255838032477167,0.1146284350130304,0.11499539137267954,0.11356955237652662,0.11379328603069823,0.11430747424767074,0.1118692386297165,0.10723609038167763,0.10481571861953876,0.10726499916262189,0.11642069608142484,0.1213196668228426,0.1293182572174539,0.13339912838775936,0.13084089991013728,0.13123855635686127,0.13606494088988572,0.1370475784636047,0.13680548274305643,0.1394022329017511,0.14297049208458248,0.14589340081584265,0.14574032026306552,0.1413996290227961,0.14102130927622594,0.14200730071450976,0.14536170135903073,0.14225140603337194,0.13954399687695726,0.14023257686130966,0.14066692235517408,0.13990065248026826,0.13335474204215036,0.13034335987030726,0.12911746832533316,0.12930569864169222,0.13054598184509103,0.13159146895864682,0.1334210521770323,0.13469914158751564,0.13580981844085627,0.1364036837386676,0.13694582250220735,0.13752504813666291,0.14118483451574623,0.1439765409141525,0.14455949162660842,0.14462650150753534,0.14342340641778492,0.14388562248122574,0.14494855279842087,0.14514339474095417,0.14429522066552694,0.14357287719000564,0.14530380788597294,0.14629976041434767,0.14479144309897088,0.14556493506286897,0.14707712827784478,0.14927426257624524,0.14709687044299768,0.1490555361679123,0.1449662125545442,0.14704266033470723,0.1524786111518658,0.1506515171535891,0.15048374469989031,0.15375816163081266,0.16336585000272932,0.1648187003354419,0.16703319250525492,0.16233933139785747,0.15988888155189723,0.16079894046391882,0.15396869434292443,0.1515541661749453,0.1480032495435557,0.1278665961180609,0.132267165411466,0.13225588685664558,0.12968348932592863,0.12715566875675474,0.12553942841753987,0.12665393744419023,0.1275228389485845,0.12922706083154611,0.12878261599678908,0.12927660005914413,0.13212041386916137,0.13283826098805343,0.13251241976714123,0.13388691939669028,0.13359669007976352,0.13728561744995096,0.1390331461978561,0.13928598637158837,0.1403802000200385,0.14350607997133305,0.14484429361596698,0.14721084985917235,0.14622560214287073,0.14723519708974395,0.14696320174995917,0.14528763419143,0.14978404762843886,0.15238317358934125,0.1558079889706351,0.15661607674985903,0.15924848556347318,0.16316681737188343,0.16389970443900317,0.16632685942048933,0.16843483844857132,0.18724563122275176,0.1865269167775333,0.18744332510354286,0.18835757424788938,0.18953547936428597,0.1913352797178592,0.19159985099063018,0.19089113619529363,0.19402946092594145,0.19586537245982985,0.19845823721695355,0.20091780541268198,0.20259363210840112,0.20281485095193516,0.20281184475413036,0.2036712912369847,0.20335643609575607,0.20309400806894382,0.20358541459334242,0.20447383226970142,0.2035079157033647
EEM,0.08683594073837216,0.0737640538858067,0.06454513785620467,0.06395563987004876,0.06410810908994204,0.06259283896727759,0.061204484724410625,0.06054280052661143,0.05986583226321063,0.059742596246319335,0.058848231337703595,0.0585333704346662,0.0589048955995341,0.059404680593202606,0.059629345265088195,0.059580379295453866,0.05950988289760123,0.059353002232946234,0.05929990539822644,0.05845513798759344,0.0581140176863992,0.058145223587622565,0.058265287473377336,0.05867318698528317,0.05806883324953419,0.0574597710788988,0.05762309600657617,0.05817185420670467,0.0582440577444139,0.0587062938125185,0.06010221600131573,0.0588954392697413,0.05937679508349639,0.059465712333125,0.05939200140049173,0.05951199769916218,0.05942424527114814,0.05959219992302026,0.059005023066664164,0.05869759311940429,0.058012398152041234,0.058750484932721204,0.05982801650449676,0.0603849645083355,0.06088463272974962,0.061050200854838636,0.0600433010412558,0.059332932933590134,0.058234931735688465,0.05724839380006277,0.0567460636753006,0.05700178873662134,0.057316456974617236,0.056935527416252,0.056134431359672464,0.05570800482387996,0.05620117077049303,0.056848493264419174,0.05728205033500983,0.057762765317267206,0.05790723714133363,0.05825341001701445,0.05820455907674763,0.05789176352535671,0.05787260409348727,0.05776483674542193,0.05792929690436737,0.05739339924241057,0.05746526110253113,0.057830284710127834,0.05772598453019593,0.057328897087085696,0.05683625111674556,0.05661647930726593,0.0576184318217401,0.05818508372051593,0.05820758664714207,0.0567775442762788,0.057112031275542735,0.05570251410835603,0.05768042367040447,0.05825217629597353,0.0726000698339506,0.07985974072636577,0.08882788380578133,0.09674463722240954,0.08200925863896891,0.08376321004943277,0.08718160294177361,0.0903631015591228,0.09342534588710254,0.09325520972195613,0.0923689073925079,0.09343133359726724,0.0916988795926762,0.09256134474086723,0.09203562919068153,0.0943058868189288,0.09402772821881895,0.0942536683304504,0.09312072103834274,0.091689236360616,0.0914796043184119,0.09197425689441646,0.09348103561285159,0.09694920832207417,0.09691241475455192,0.09770095252391531,0.09747235592697573,0.10181971081924811,0.1017364552684481,0.10103232997963517,0.10329342312273226,0.10849192779684097,0.1110725628473272,0.11191398702628307,0.11230309079131123,0.11225748497181758,0.11219733282230175,0.11308452007013749,0.11018647493870992,0.10645428568200117,0.12313741568128418,0.12502638129074742,0.1233120281669373,0.12211917523745623,0.11906698480646409,0.11876019499465063,0.11732966582370617,0.11710175720583389,0.11705797390856716,0.11720944403632794,0.11729106556523773,0.1155183647095805,0.11468025415243098,0.11411110690904673,0.11427174783634997,0.11398132674288813,0.11011042423373037,0.1092930770739056,0.10757580275870653,0.1059754662575851,0.10041019876427588
GLD,0.08295622910613373,0.08236566938666973,0.08245711172206856,0.08396761124828271,0.08167543638418596,0.08573701798191447,0.0827249258695571,0.08499000816389675,0.08394383502178916,0.08673042503631001,0.0884661128031101,0.08641091838201127,0.08644795408449195,0.0848301878873849,0.085254409371066,0.08451364620141694,0.08771555298140994,0.09186418827933357,0.08667904060831923,0.07879572849828913,0.0812645431795353,0.08844571263941481,0.09375597371902233,0.09855957540604031,0.09738066183711801,0.09605568551875843,0.10267950410022574,0.10461650895967038,0.10768475784360897,0.10651297926651747,0.10743685965899497,0.11203027626103503,0.11521072082734347,0.11661907701545872,0.11890272794873342,0.11842228147567384,0.12525586862478658,0.13016331439314693,0.12971241067008235,0.13353189301290588,0.1335444515527858,0.13372572258107218,0.1344483136095236,0.1345586897649946,0.13756493276110535,0.1341487422179912,0.13412967881788385,0.13436520633627072,0.13338173827568456,0.13402723948269332,0.13382317563355986,0.1330274331608052,0.1313114030807038,0.12916434090818724,0.12843458656012208,0.12828375782664833,0.12812219924780663,0.12920935135855918,0.12864207762691587,0.1306125728513626,0.13270230280698353,0.1317258616807294,0.12813004935531833,0.12863376508825144,0.12431014093785576,0.12340407483570959,0.12298282451127245,0.120066378014971,0.12351937157916977,0.12881257957292724,0.12807092142156304,0.13141510613797389,0.1273260719429537,0.12083083765800451,0.12146764720899077,0.1209851995715263,0.1213446695376408,0.1193496476692411,0.11606566323347045,0.11277273445514842,0.11135921179655199,0.1131313296082128,0.10998742193425996,0.11061074792104549,0.10922613799132257,0.10941463202407635,0.09603334828832684,0.09275206431187166,0.09234369569292056,0.09259324954780647,0.09203243180376124,0.09130643655190047,0.09158795855504857,0.09128580294326698,0.09331024271621163,0.09370752115246193,0.0944672884307139,0.095539526135154,0.09534738148937368,0.09419168731384257,0.09457331781838063,0.09582012598043739,0.0949482174633597,0.0940262282471754,0.09388936760565193,0.09164169318462179,0.09087971899163881,0.08954613585375637,0.08957866190936897,0.09141119349490397,0.09139352863013073,0.09442821670868835,0.09588605539701085,0.09650851752304412,0.09545462771366044,0.095226375102812,0.09679395885300536,0.09611792584212386,0.09543018766362843,0.09697068507677142,0.09781001569345836,0.09878036349489257,0.10151683941059443,0.10552886844310276,0.10576095062199786,0.1029447360091576,0.10418525241300197,0.10399068077018973,0.10581351617919336,0.10796966123326483,0.10662248457931757,0.1059772468301509,0.10282922801034756,0.1001263816989413,0.09993491503442907,0.1039280104893201,0.10517569955797611,0.10433379056851994,0.10550736600699086,0.10491550207992954,0.10293127353722713,0.10156122918157802,0.10342820469198677
IEF,0.1114372748385589,0.11346921959990584,0.11380913533431651,0.11500574944930603,0.11599320031910759,0.11543020918206247,0.1150595742028444,0.1115391183160685,0.10821726769110367,0.10536122429997813,0.10399515324826814,0.10329568086594265,0.10358064096408914,0.10400215136273043,0.10401652093495974,0.10423885812810128,0.1035158675938478,0.1028446671594469,0.10314038963627216,0.1007940222448284,0.10020969998020357,0.09732247330256448,0.09436410144615526,0.09153388323763163,0.0902776905427069,0.0899948855392882,0.08761272610902347,0.08586918291277919,0.08270739747538103,0.08039822817329757,0.0768076626951799,0.0764474489349971,0.07761952975483606,0.0768805434187285,0.0753888345606017,0.07513627852612997,0.0744555836500961,0.0733166201067766,0.07382363780432848,0.07043987778332877,0.07036979629444984,0.07025490183194467,0.07069997973446428,0.07176886141786744,0.07334899373322057,0.09415472451738044,0.09915968156874433,0.09933077232939576,0.09971706013491254,0.09990586741142048,0.10031490018745824,0.10070365548630916,0.10089973295434253,0.10105268589742537,0.10272158839222471,0.10290812082529514,0.10329367064025996,0.10349098066084313,0.10379735571883286,0.10331367212764041,0.10352607725634462,0.11802560669441203,0.12710986399820132,0.127194464729826,0.12709039417591447,0.1260455554925076,0.12642840035741817,0.12863825878923155,0.12821031970968363,0.1263691732844713,0.12581657786290792,0.12469246140505204,0.12572546315468733,0.12678865559493627,0.12744108356820344,0.12792816965601753,0.127854773939961,0.1256804930062417,0.12673854611173543,0.12653435864751492,0.1274772951141225,0.127504944821892,0.12608243207561085,0.1256794012322311,0.12461398047664797,0.1240606306823132,0.1455078197677004,0.14320342815402762,0.14274739803766626,0.14205584605337188,0.14218905079974611,0.1418137660067542,0.14143231459113645,0.14121007410484934,0.14134916912209547,0.14145528813914396,0.14116668221926262,0.14302510728258253,0.14222731855298473,0.1421072004435118,0.14149924584001405,0.14173756722136652,0.14185332121749983,0.14188474658362651,0.1415401628731461,0.14228280618635467,0.1426679346103929,0.14298295595836538,0.14342874217467882,0.14361846043035686,0.1429219615281721,0.1426220380332408,0.14176927965552363,0.14142059297858042,0.14034353352227077,0.13859600985264123,0.13544928383194763,0.13035826848278034,0.12499669897337706,0.12236329752071247,0.12036273814905248,0.1185580243447089,0.0848090967354737,0.07826689869891713,0.0758083184997629,0.07432056974948299,0.0729720215664675,0.07195396919422746,0.07077934637317644,0.06957520173217084,0.06882478362736637,0.06788893367616124,0.06717765113903347,0.06636817178396563,0.06599134587236734,0.0656450670441808,0.06531391589418317,0.0648823470055388,0.06448031381520014,0.06431581255149633,0.0640916026882898,0.06386918471067034,0.0634834997555312
LQD,0.0399172623963962,0.033333814866618766,0.03333382684918896,0.03370364175628273,0.03392845046908877,0.033658434409671235,0.0335823333583486,0.033333650098187,0.03377805302927673,0.0333336486764711,0.033333657010448305,0.03333367269750297,0.033333676086390665,0.0333336789789516,0.03333366776494883,0.03333367267852657,0.033333668663062865,0.033363376674175035,0.03335737131530127,0.033333634807696834,0.0333335923778108,0.0333335527363125,0.033729167281555,0.0350169744215124,0.03625285908557,0.0377695320074845,0.039079818577971596,0.040454270388046,0.04172771798841784,0.043431769194980964,0.04482790659569683,0.04611407734213024,0.0474590016234803,0.04859219282031033,0.04944188075497483,0.0504344184758104,0.05082522337102217,0.05081698302188877,0.05077043571470646,0.0503173875274733,0.04989620776594583,0.0493822836201692,0.04938268035354376,0.04952950801004604,0.049684410262161104,0.05009405235316774,0.050769817392059664,0.0506349470978491,0.05083161400577366,0.05078943330760016,0.050932658184000605,0.0510488621690205,0.0511485633715639,0.051188636049530334,0.05126969116891059,0.05121796776147583,0.05112708764041023,0.05119079990255823,0.05136643812377093,0.05166408558100003,0.0520424265780683,0.05240643429310791,0.0525567345572926,0.0524069854016752,0.05231951267622217,0.0519211232504706,0.05158697371148321,0.05140535792546247,0.05092851280203311,0.050584144663955,0.05007190576356724,0.049345304348229264,0.048737903616318634,0.048607374544066696,0.04860886856682787,0.048515413583236765,0.04838885249234479,0.04826233685250637,0.04835333435795053,0.04779152008135107,0.0476216788555724,0.046730820739422106,0.0464608285171342,0.046136956777743134,0.04581563534793903,0.04540210011395244,0.0470157659830377,0.04303955594866297,0.0411469015678668,0.03943003711721977,0.03862312256894754,0.0390646572421837,0.03922919559816527,0.03903626794447163,0.03920855060653513,0.0390434351038618,0.039013305717345965,0.03847704572079927,0.03873462494736003,0.0392372229229743,0.039720653427270165,0.040146830136959764,0.039603649908403836,0.039296167234909564,0.039362238563912536,0.0392718422383668,0.0388242939144351,0.038501996067569766,0.038691712793739966,0.0383807411567691,0.0387450733989211,0.039187507426354,0.03985144486797357,0.039619378569587894,0.039023478807017134,0.039185080637970195,0.03938691383517354,0.039937634148734226,0.03994287766745373,0.040374448741398034,0.0406889334179386,0.04137348278721457,0.0400987301581578,0.041366277798775136,0.04347630972800683,0.04568015909690067,0.04766423963863977,0.04922082160701997,0.05034014120868283,0.051281500948159135,0.052310991418777965,0.05314928085466414,0.05383990867673467,0.054183399824413225,0.05461199692559273,0.054903186756724974,0.05512559231803893,0.05522291200350373,0.05533870921205153,0.05558004679159393,0.055842217272345035,0.05587365281632923,0.05581810223732311
SPY,0.10906734374313483,0.1220537755686062,0.13331233434868858,0.1538329632247447,0.15968800266821817,0.167805689450068,0.17425681063247078,0.17896907052264577,0.1830799308360097,0.1863150789231799,0.19105449220834078,0.19437986054819825,0.1958030904486956,0.19690756475633653,0.19665637717543447,0.19871894561276301,0.1994188519133214,0.20220020090517812,0.20662603817229755,0.21018258369358378,0.20633074248536046,0.20253165484976773,0.20237336355554328,0.1973955280343992,0.19939434940729306,0.19820309847835774,0.195984600676907,0.1932099456697349,0.190659278495759,0.18531902508552056,0.18026388453956443,0.17086127350120894,0.16665861032550655,0.1689428192590657,0.16789218083442925,0.16211410035417706,0.1625700280409276,0.16604978957836494,0.16894443666787481,0.17377993031005812,0.17833809298119677,0.1732208490950845,0.16815637823601368,0.16769700297334864,0.16441382839899568,0.16737869354877952,0.1726250481927681,0.17391697701791,0.17672576909501622,0.17827550605582376,0.18122216403759447,0.1820217229755232,0.18225992022510062,0.18272960491864712,0.1850010199925777,0.18702548166601582,0.18841471440696944,0.1870329549970963,0.18671180824757347,0.18483744128096435,0.18499683879853088,0.1837745785440886,0.1839879105344344,0.1817487957305266,0.1759948845418601,0.1770813197732731,0.17984137661530727,0.1793142000560478,0.17817136295459615,0.17658204661522095,0.17339924775743296,0.17448788932989553,0.17298429607682272,0.1691235983756322,0.16610573718491733,0.1661776604761072,0.16639144304625444,0.1648669689272806,0.16439604487982148,0.16706542722759835,0.17410917399324852,0.1747104831021317,0.16689909257513624,0.1636275903926149,0.15639439388393317,0.1503035991777402,0.1547207346029876,0.15366476300556428,0.1492331767770286,0.14809487178423006,0.1465365133792156,0.14594957773112002,0.14472859314702105,0.1412372436123469,0.13736419645633427,0.13607894541126236,0.13557171693554929,0.13043813112187866,0.12780687148766093,0.12732645443815027,0.12477840786492383,0.1242875902402959,0.12362746304530207,0.12328331715268466,0.12135746808970066,0.12050813894160033,0.11865619972949516,0.11742284597349535,0.11676370168260346,0.11678488617644205,0.11829581620829677,0.11536338322754268,0.11465562186373424,0.11386941364181724,0.1124714599293581,0.10599157926061903,0.09967158632628514,0.09603440051103329,0.09171598611502303,0.089485008484898,0.09140265222037607,0.09153093390724913,0.06258820802957143,0.05988267128115454,0.06600780962470393,0.06887946994016467,0.07105911479646303,0.0705422549083279,0.0723237257694018,0.07729818791512703,0.0805797776390938,0.08391920075197694,0.08391591795447156,0.08774350083475634,0.09156656438849,0.09112072662463037,0.09186262874251794,0.09281892795508735,0.09523855711654934,0.09583708097674615,0.0954928591933283,0.09812065903146937,0.10793601634400574
TIP,0.0680887220630567,0.06179934811789126,0.0568185336495903,0.0522220125750642,0.052375120261104836,0.05239018101456603,0.051351385473381306,0.050776474653408,0.04985439311227846,0.04882862006917713,0.048432419419424035,0.04838174562391064,0.04819903681282193,0.04817411053595477,0.04795914195229197,0.0477063147720397,0.047573647016924465,0.04751245286789296,0.04727089774670797,0.0450917620192799,0.04506952020812727,0.045577784497936404,0.04653218914478271,0.04764551296657097,0.048703667912883,0.04954031524806216,0.050336278627547665,0.051208843460919966,0.0518465547786513,0.05264190302181746,0.053501654954724594,0.0539997137745857,0.0547727713314717,0.055234073109528464,0.05545677875575866,0.05567552517270047,0.05569655741187033,0.055242526702614626,0.05501037809161513,0.0540443054297696,0.053361147398215736,0.05247216261706943,0.05191844773718174,0.05138979396153807,0.051268163357222264,0.0512967881108366,0.05032966655942197,0.05089190802559004,0.0507733039441751,0.05045180182141216,0.050269281328349534,0.0500795622769681,0.04988140391796503,0.04970492019120063,0.0494640052771289,0.04914212936373124,0.04888304588230636,0.04880940981510564,0.04888388686450149,0.0488375297257021,0.0489826839115986,0.04925848428094809,0.04936454501207136,0.0494212741737844,0.04947600261368923,0.04956944512448857,0.0496731119318656,0.04988468568860887,0.05019940417362243,0.05058719579498133,0.051197674592821034,0.0515361243841814,0.0520379089494318,0.05276886756666757,0.05436496657716916,0.0552877235401859,0.05591349266710027,0.054850458515518036,0.0551570774763434,0.0555956272253516,0.055576189039126804,0.055930992182248264,0.056240286726519095,0.05624730660423503,0.05650221443082554,0.05684654556551557,0.0725944755548645,0.06949506743023387,0.06633899773780197,0.06279098480124483,0.061063770114316934,0.060896614038312036,0.060679678752880696,0.05967613908918517,0.059533257380787206,0.05945611685828267,0.05924779882342703,0.05847666017476887,0.0582652362679677,0.05813328253173453,0.058232103519065936,0.058274214212344265,0.05813640164728323,0.057919664464363835,0.05773150593519153,0.0578556500916217,0.05779268161205257,0.057796994017651336,0.0577648920863768,0.0576770636527676,0.05740104274695901,0.05745429311602596,0.05786204116529494,0.057879755078333095,0.05753685650287319,0.05722143806500834,0.05699107006186819,0.05662749575378517,0.056682954605957125,0.05665548498265647,0.056687988400855836,0.056867248881244926,0.053663694214324736,0.052886188202615037,0.05297722946794311,0.053365994772570736,0.0539363272989152,0.05452471942783044,0.05500178235720247,0.05531601539169353,0.055806353912588834,0.05622840742076424,0.0566161621640222,0.05677763111452283,0.0570462385345857,0.057361116102525735,0.05746481508733633,0.057505015050400565,0.0576623518239743,0.0580217613564282,0.05837207546947487,0.0585523967806966,0.05843105415831767
TLT,0.18858244618384146,0.20088588713278774,0.20542676504064575,0.21008974636831,0.20848007777223895,0.2075790251521149,0.20910197393992216,0.21097770453355222,0.2145718244306775,0.21616250541880067,0.21720146632962065,0.21903391559883975,0.21939106714699289,0.21926819988695434,0.21879246082225326,0.2190140819443895,0.22011128390215284,0.21774010911363198,0.21813391411977312,0.22072682041970051,0.22252551695878178,0.21846826038191,0.2138061823005952,0.21020856629875306,0.2078822147174971,0.20670961594492546,0.20382318892656048,0.2021133665843812,0.20013688503986135,0.19923522950659478,0.19698416531990828,0.1936877796940245,0.19252422483954337,0.1911520077151493,0.1896157758802799,0.188196266952713,0.18547450036824675,0.18377933741126132,0.1846153306397086,0.18297614897823877,0.1823020550064012,0.18192164001124492,0.18136127185480352,0.18070606063411024,0.17814869258391974,0.15821821679376732,0.1533727068251719,0.15200907916640174,0.1526000640751736,0.15183553354155968,0.1521157543608602,0.15172882697563242,0.15184131670484502,0.15217149592471377,0.15111203186535918,0.15084906879819052,0.15003795155877334,0.14961886868964197,0.14933187571334983,0.14753588860044445,0.14631466974695864,0.13285253094555768,0.12644931048717556,0.12622129496945395,0.12973714180796167,0.1305093331988969,0.13078614202319586,0.12741733027637595,0.121716043909238,0.11889378940990118,0.11813241558026098,0.11732402058139833,0.11783909878827648,0.1187714845959667,0.11424336165441563,0.11276214533472313,0.1135924647184579,0.11366281520851597,0.11534757722096971,0.11923304344224034,0.1164469002670917,0.11465990869880072,0.11722026354481185,0.11698319713839338,0.1182042937637635,0.12398955675425603,0.15122375629110887,0.15989168683174484,0.1627413096806916,0.16672757949542852,0.1690280220591074,0.16996125554054278,0.17057760570948868,0.17137450833876433,0.16913419038803149,0.16888761578868847,0.1683668218918117,0.1661553863644689,0.1650800106043254,0.16540866435156457,0.16533323351779533,0.16445114887523912,0.16439176012071846,0.16440744222826875,0.16452922842360393,0.1652141970246502,0.1654355644824512,0.16638591636828845,0.1654038869146526,0.16237933690151407,0.15694250666537737,0.15463893602604803,0.15398222459367952,0.1528033459189203,0.15383816500399236,0.15521630141765538,0.15699273834641447,0.16147923766148098,0.16653361080548093,0.1681381043029316,0.16946425634044907,0.16961783134046382,0.17437474698501398,0.17170699524281585,0.1724994429072989,0.17140223491257914,0.16931402982590812,0.16818748151575103,0.16619323497452648,0.1629951876839089,0.16340997332412247,0.16336544367229736,0.16393647302868075,0.16369477155803108,0.16510024103870594,0.16437597847481347,0.1648171770145234,0.16487946800743367,0.16283246732313114,0.16323898984964472,0.16413934344770137,0.16332785163092148,0.16105423390600207
VEA,0.1134188934649568,0.12210503995095978,0.12771160583963453,0.12296613794196397,0.11677128214288533,0.11292378624336773,0.10469741572622286,0.09872495541485467,0.09637756956619113,0.092918280833419,0.08659702289991633,0.08386590572667853,0.08389853065150173,0.08357249809100847,0.08446002431519273,0.08603205240686627,0.0872160244929971,0.08627340615829297,0.08408561635325536,0.08327382506194433,0.0793456103260304,0.0764326748568788,0.07096360096986927,0.07503401839705397,0.07549524437998993,0.07328147737334793,0.07235310221693804,0.07454339833817647,0.07501435389197583,0.07822161899795006,0.08135636712385597,0.08971202989299033,0.0928644922496261,0.0896016060506865,0.08919954626306988,0.09311011752000636,0.09233517567047946,0.0901661780076947,0.08727275992753077,0.08471870793101156,0.08217210280761723,0.09438282256380683,0.10111577169083717,0.10162791892194577,0.10146808197343486,0.09874813003120803,0.09207971755155324,0.0901088043461043,0.08674997228900228,0.08551937070928,0.0820067148506587,0.08099677260935956,0.08171650239001953,0.07984689024432699,0.0755442430817551,0.0738882284498459,0.07277110824309159,0.07344515781654513,0.0736602143781963,0.0743073176779631,0.07153411974539149,0.0723989746925021,0.07223810539342444,0.0735618815847901,0.0804989873419112,0.07956802694533793,0.0752466712477217,0.06855614882578114,0.06670742530498576,0.06673456920920506,0.0678261769205918,0.06936367862198484,0.06943842723867093,0.0695462285438114,0.07278404676617757,0.07443992475013787,0.07441453761422777,0.062238690211227465,0.061561012968247196,0.06103614928461296,0.061824202594323696,0.0626980337461412,0.06351384858646526,0.06434693706544427,0.06493385543254576,0.06513317436150932,0.06121505295757294,0.06000538515115059,0.060009702280136724,0.06026465426377773,0.060691281185493606,0.06097430864141647,0.06093316882610259,0.0609709252361088,0.06110508867321016,0.06106522157772326,0.06106945243138737,0.060894900961333764,0.06084063018401897,0.061065333849950165,0.060930173842497194,0.06068380274318621,0.060459446063273865,0.06038820766996043,0.06048713654307317,0.0605200743433864,0.060385220639927566,0.06032136350732666,0.06020569038811333,0.06049603541930917,0.06489035207295774,0.06540147199755303,0.06479351093154524,0.06161263780328916,0.06088693329346231,0.0605685589469346,0.0602924813888007,0.05997900243305173,0.05931435835463076,0.058965074811685926,0.058581723080286696,0.05820775780944373,0.05855515723924254,0.0587735111659023,0.058859844292388,0.059267903759471496,0.059172378238267466,0.05888803865670309,0.0588618916290341,0.05940031469699477,0.059323373193553595,0.05928852111400603,0.059145626410746534,0.059054121276999404,0.058820861141948864,0.0582372077496132,0.05798512709231216,0.05799280230013546,0.05818658946476037,0.05817928728067551,0.05806492001826654,0.05803376527554074,0.05833227818967346
VNQ,0.11416436277463966,0.1018274986290449,0.09264768012954765,0.07559526927873317,0.07319723774291867,0.06580430356594937,0.06458149785751603,0.06285453880726073,0.060189852504493935,0.05804924017157279,0.05744300973013733,0.057769538749569804,0.05687155582895493,0.056713641876777666,0.05559057815109377,0.054992810330726095,0.054369130157004564,0.05403287798956307,0.054141827487224764,0.05292578918565854,0.05248708997490836,0.0504244059301385,0.05281100572133981,0.05509185434261763,0.055305922510546335,0.05492067792099064,0.0534601062946447,0.05300714673653043,0.0525767638401794,0.05256246085621974,0.0528258822949162,0.05251164106622086,0.05211422494189947,0.05249065900172114,0.05270297288715043,0.052037312464595496,0.05171141155805067,0.051329053978274274,0.0506130105561792,0.050827233552635236,0.05210309556107787,0.05253439070473626,0.0527457804088279,0.05321973148248016,0.053912565558498236,0.05436446972693923,0.055898913092493896,0.05598832056985557,0.05628640485705763,0.05613703542929099,0.05616560400354973,0.05644555310755273,0.05609965224417914,0.05602106393396986,0.056341861388096444,0.05641774885830847,0.05652255010235371,0.05693057707744594,0.056438670510623234,0.05618017403923453,0.05685024927383581,0.05700889818611241,0.05838604439532846,0.05761596691036227,0.05640057139674997,0.059344841534922664,0.05996026763449913,0.0702471129032655,0.07380803588789434,0.07650934629621191,0.0787035594027464,0.0795403055496544,0.08203191878138527,0.08446786266178247,0.08671433949796863,0.0852349346676587,0.08013401770605794,0.09094519533046035,0.09045001214047672,0.08723543302257102,0.08556559327170006,0.08649242925328,0.08019681574219283,0.08253942779900221,0.0839274386922954,0.08010187455467134,0.0618131917973709,0.06191767370584506,0.06600132842746784,0.06799618605186904,0.06925479344555391,0.071238746108274,0.07180863998345817,0.0742548661851547,0.07806936423257196,0.0789618952309187,0.07978470430067613,0.0805669415509236,0.08483193725943573,0.08576406605067981,0.08792522373501939,0.08931279414979088,0.08821451876579571,0.08778682332673786,0.08833586998127953,0.0853761896472849,0.0849398912937213,0.08449654611366401,0.08347950626431748,0.0812069698058181,0.08043806639099256,0.08290862173495234,0.08261876421107536,0.07801038306114767,0.07698920879069686,0.08027268071944081,0.08550279981533442,0.0879600646317192,0.09001917562026336,0.09006367156980487,0.08848835833838327,0.09017523330420953,0.11401048032358507,0.12003529109843626,0.11385474158741793,0.11366218227432688,0.11309417205158652,0.11259655920744,0.11175684469444573,0.1081710369975532,0.10203482747067046,0.09710814918382103,0.09678972983377165,0.0956158517861075,0.08965395080304796,0.0875027488972092,0.08517145170263125,0.08471211912950731,0.08728678490785557,0.08752443397063585,0.0899044910213178,0.09021196204550734,0.08759849624951893
