asset,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-29,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30,2020-12-31,2021-01-29,2021-02-26,2021-03-31,2021-04-30,2021-05-28,2021-06-30,2021-07-30,2021-08-31,2021-09-30,2021-10-29,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30,2023-01-31,2023-02-28,2023-03-31,2023-04-28,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-29,2023-10-31,2023-11-30,2023-12-29,2024-01-31,2024-02-29,2024-03-28,2024-04-30,2024-05-31,2024-06-28,2024-07-31,2024-08-30,2024-09-30,2024-10-31,2024-11-29
DBC,0.4705272838433954,0.4647930177863115,0.46176141833748385,0.4607153532388882,0.46624448346567293,0.4789375883729303,0.4809243859778293,0.483320792671899,0.48790048774066913,0.48415640836661716,0.4764148318256558,0.4748946342156312,0.4771672701694915,0.47501286510834273,0.4789607261515845,0.47951696895317686,0.4818903846218898,0.48582521796292366,0.4822328716240432,0.4904315317647496,0.5025842288558302,0.4998548492418136,0.5023331824193983,0.5035444327650177,0.4927714374885735,0.4926670164418925,0.5049932463911943,0.5046904476387172,0.5065333297011625,0.505035595047593,0.49371891188311284,0.4981995825735535,0.5008030395673991,0.5011936640058873,0.5026224203679104,0.5036054792750512,0.5069709266708172,0.5077051768879303,0.5074928282662513,0.5046886532027921,0.5052621091467978,0.4924321667180258,0.48812909768189244,0.48806239098136633,0.4873291257128704,0.48621498075834735,0.480563464698307,0.4793756033370021,0.48081247731549914,0.4806848320365727,0.48497172802409283,0.4844184712091337,0.48669363396270166,0.48313314906941507,0.4827446745110399,0.48145848140557695,0.4794267412512001,0.48298187659192227,0.48419023472109507,0.48545709696384004,0.4920504592280066,0.4977678798875644,0.4843794835565989,0.4833234979908681,0.48175796974835344,0.48657876872063327,0.4924885794999894,0.49360364857710404,0.49463583066240685,0.49561049849312067,0.49342306882261466,0.49447541241056747,0.49389620652025856,0.494805145891753,0.49634018871951935,0.4977506548265758,0.4951258550342868,0.5038455520088151,0.503057942330697,0.4940158771148609,0.4889947312218333,0.486961523460229,0.48553517457622714,0.4914546544145497,0.4851870226755383,0.4836244023201413,0.4853997732988762,0.4803427009682206,0.48217097554166405,0.48529014858236375,0.4863722237870798,0.4902392828245314,0.4897055347959132,0.4890232417024231,0.4881618621882792,0.48790437583177954,0.48749884846546543,0.4836594171572095,0.48756512548635733,0.48948189905052714,0.4889611968239212,0.49066730122025165,0.4838215837076259,0.48405948674231,0.4851845341057526,0.48419686410035895,0.48102002277309275,0.4819508240523218,0.480850237895724,0.48369929681499424,0.48162112734579116,0.4858133149090554,0.49272403547442106,0.4923290487826093,0.4921217042886575,0.4946479539354105,0.5057621912290154,0.5114822311270227,0.5185053675258336,0.5213849583004485,0.5225720410135201,0.5251561101031889,0.5295817983777522,0.5351439081357999,0.5321270246059152,0.530810244204334,0.5336982747712917,0.5350724029313437,0.5336255464256298,0.5323586709325805,0.5329390848270832,0.5349942322610045,0.5348056848603866,0.5355004076036444,0.5335817212140376,0.5323640391668144,0.5337135193810801,0.5336199484226372,0.5380648753554077,0.5365292320797076,0.5384877063950739,0.5358732646712798,0.5407871803635222
EEM,0.4754991475362987,0.46962619719880555,0.46196709421058996,0.4605362821583412,0.4727143002761481,0.4957007290017776,0.5121188301819158,0.5156831805496156,0.5200850616706624,0.5154882913580563,0.5148949273297938,0.5110783955997308,0.5105907442775678,0.5087047790257145,0.5147598519410013,0.510056784056072,0.5140786390161416,0.5176405912136066,0.5161790548427836,0.5267105445822741,0.5475396609275404,0.5533110814384065,0.5629326381384718,0.5632162101071493,0.5540169938237011,0.5589911375620163,0.5682971037292244,0.5663855023371441,0.5690243862719232,0.569594711595106,0.564182749687812,0.5635190705090788,0.5621225211637658,0.5661168161388607,0.5698579760918457,0.5681874522924258,0.5678207758845576,0.5659088009935692,0.5686599580083523,0.5697779921070372,0.5697788585503992,0.5515031593192511,0.5384574953237075,0.5352152173175,0.5390221386496151,0.5424958135635894,0.5494206677679124,0.5505072087376695,0.5586933042959652,0.5617686528055171,0.5665098135579739,0.567737541590635,0.5673134013227917,0.5701300982869345,0.57477173085266,0.5721464387306203,0.5683180340248847,0.5742744303818741,0.5745258967362322,0.5764363018042654,0.5879658906186807,0.5918062483465637,0.581638946573742,0.585409429253117,0.5834921420382488,0.5822861870989576,0.5892317173897139,0.5961063831671568,0.5988982056617456,0.5958318176086871,0.591942519208695,0.5872803377016541,0.588877258725573,0.5950344745998333,0.5923600263836318,0.591354642840094,0.5868057421877858,0.5917005975109774,0.5907825029070827,0.584217638371957,0.5675122885154613,0.562440601522378,0.5496268707667608,0.5435605531936026,0.5330101228479561,0.5225355338954228,0.5201986612955875,0.5212494693688043,0.5216973984044456,0.5206578684622324,0.5182418152907506,0.5225745586899238,0.5241235917969432,0.5237427080401892,0.5272682054881148,0.5259770135083496,0.528063915354201,0.5255538729044931,0.5307446025566391,0.5326646843125094,0.5341677089922805,0.538485909691924,0.5345255013547708,0.5336150046305211,0.5335277080635826,0.5312800003889293,0.5302165857981646,0.5320305518605472,0.5358289111021709,0.5338288139547188,0.5355570899150813,0.5380141749887452,0.5408706272847709,0.5437063824886232,0.5428069513293271,0.5486992355456565,0.5589351114433688,0.5655754397604936,0.5747447656430739,0.5769692066254284,0.5819565606658695,0.5897481190461699,0.5987590518541931,0.6000222815657441,0.599704751173943,0.600957560575273,0.6072059881015724,0.607600543102666,0.6078707672356424,0.6082610314394326,0.6104923451996426,0.6123420702804846,0.6128365824250636,0.6151309373914979,0.613045906552029,0.6118870767260388,0.6112012791007063,0.6125967387600966,0.6206831985860468,0.6207072638317733,0.6237807387055693,0.6243094878622696,0.6293840852918103
GLD,0.47733606934589484,0.46790738111139984,0.4635809110614275,0.4621724783520063,0.4713852770170747,0.4810348277685001,0.49084343051349477,0.4941517387579602,0.5012991740401079,0.4962997418785397,0.4903394859673847,0.49051943101139034,0.49066613398676245,0.49206894379658267,0.4945183509321917,0.4943636672805103,0.49364613880753155,0.49410716634074997,0.4972909826883826,0.5171621265810445,0.5293535373824337,0.532443676399319,0.5361318772727368,0.5304595420969639,0.5256561514448382,0.5298473075973827,0.5346855463937449,0.5334738422639582,0.5347319936130734,0.5391657464854863,0.5316921283239308,0.5270195951905858,0.5212787189223235,0.5226632298866083,0.5227475158525244,0.5268218796364587,0.5192029415483179,0.514301909745595,0.5174272411510917,0.5121515707108352,0.5145092976744037,0.4953289628991939,0.48882856712765227,0.48893674944166343,0.4860947903051354,0.4892926014686212,0.4855369013828814,0.48538670967415526,0.49025088219098256,0.49017807810619196,0.49544638092142224,0.49667884776060073,0.5003605135424793,0.5022364305577164,0.504164713921397,0.5028441125302913,0.5017253755404574,0.502852475377458,0.503880497827419,0.5047550774240551,0.5103100210643126,0.5161948477731514,0.5048042223172801,0.5036445167210076,0.5063753583232793,0.5087013333177381,0.5140736569157789,0.5194035065544583,0.5183041913689223,0.513063988969329,0.5128262397030254,0.5069434049603637,0.5134440993305448,0.5272201347147512,0.5240191338769952,0.5277888429153778,0.5296433508223358,0.5528134499468988,0.5559342148390233,0.5480654584987491,0.5411258018313477,0.5349843780969681,0.5394408500381683,0.5359870947478496,0.530193001770936,0.524629722106024,0.5080862888357607,0.5136477502311766,0.511489195248811,0.5098169949129089,0.5096836987835103,0.5143936886532666,0.5143004897322022,0.5141623706928906,0.5111255979463452,0.5106061717709406,0.5098472979438143,0.5071822895388942,0.5117445774869217,0.5155962814968463,0.5161743508785382,0.516188946085795,0.5146739866793641,0.5162712375149033,0.5172392113044135,0.5201885639993696,0.5196197386054155,0.5226858310762146,0.5243002101240162,0.5226389961829118,0.5209679627101323,0.5222073084409231,0.5267977041385677,0.5316789143412768,0.5338469546563132,0.5399448804719871,0.5484674255082155,0.5572973174764443,0.5681966206534307,0.5695291732297824,0.5722519050282827,0.5759646705000003,0.5953337153554662,0.5982494495152417,0.5986865571223857,0.6050457453175133,0.6077075634822484,0.6095047659395401,0.6082715280358373,0.6064928206816708,0.6120250540263098,0.6165408526133912,0.6209415850761458,0.6260743201279797,0.6247758562981517,0.6172569002044016,0.6167459170842023,0.6192342048590481,0.6246132571973936,0.6246398566060957,0.6280792794372555,0.6280704991706306,0.6299428187504491
IEF,0.3747614301053217,0.37598302574087605,0.3710217025125204,0.372751615578961,0.3856508252988262,0.4040213358775239,0.4167666209029391,0.4232567403418393,0.4287780633297784,0.42567936734802947,0.41986077935291083,0.414122784664005,0.41455152003085516,0.41569913171847084,0.4220812776728857,0.4208873432400324,0.42261269472838187,0.4296086692857382,0.43068744537425846,0.4397859756640386,0.4529647517335422,0.4695839086208098,0.48549195226739955,0.4913253194081884,0.4822329077232009,0.4897519156857384,0.5060926867573005,0.50973947723114,0.5172663009438698,0.5241881444375818,0.5213283093955989,0.5150187315929957,0.5125434560776967,0.5144458158076815,0.5193667705959663,0.5194645700242507,0.517587883687478,0.5151936128240636,0.5131567129840212,0.5138221764120156,0.5120208340329769,0.49072327576954794,0.47957179464774935,0.4771127778361383,0.47339333020875984,0.4780184977242847,0.47736455635382535,0.47981977777603557,0.4827259681499662,0.48304591057601637,0.48707721654234115,0.4886381703020342,0.48965336699133655,0.4894806932922296,0.49161261112053173,0.48934734164202826,0.4888364457180329,0.49240555806462466,0.4938715250060684,0.4971641401287674,0.5071167597159018,0.5063717148142275,0.48701541955788885,0.48624934745199827,0.4779197582094609,0.4772057227489815,0.4841644859362475,0.4916898553453821,0.4957024096960467,0.49148376309924685,0.48781951574015475,0.48523611188175986,0.4822837826691753,0.4892802798264015,0.49071807542784646,0.49223328774838687,0.4890982173960823,0.5060501767476855,0.5122574431604919,0.49541117487858416,0.48879968307188815,0.4842284493326323,0.4800998681722519,0.4737568048301625,0.46438385302423635,0.45025060474376044,0.4383951943242721,0.43435461118049873,0.4344109064829384,0.4339631389251967,0.43210265004075094,0.432825448758465,0.4322688377010182,0.4315632849078235,0.4331295756855044,0.431738957517325,0.4319478373357912,0.43712810391048884,0.44127322822637055,0.4431420071087731,0.4450695727094341,0.4487973005548822,0.44571868606257675,0.4476263365514039,0.44879436861532024,0.45015156434660586,0.44803146771185326,0.4476020855028757,0.4535657110635651,0.45746173163073384,0.4613596983785447,0.4668009221837523,0.4718578091572932,0.4825624530394566,0.48281612588107886,0.49284636894543965,0.509131865972919,0.5199223098530675,0.5312296994319325,0.5343573305989602,0.5388082993337324,0.5466399325180781,0.5848655066511182,0.5905725786838533,0.58973916801946,0.5931977269000358,0.5997083354228484,0.6033659043960503,0.6051223862441717,0.6076884860458497,0.6129978705253475,0.6165692572678584,0.6179744527914882,0.6187588498606903,0.6182806567454677,0.6175857063688598,0.618711928439014,0.6188967432243613,0.626015444167139,0.6228700699430904,0.6223776770634609,0.6212084661732625,0.6278463303077427
LQD,0.5714628818656561,0.5632802583777807,0.5577400568774432,0.5529980782739471,0.5659790427654734,0.588975444635963,0.5979461262951843,0.6026516138747043,0.6150159732366797,0.6156381909983928,0.6094857284385046,0.6063279549006572,0.6088463135702858,0.6070297444030813,0.6098374719992335,0.6101614975017482,0.6145991834858258,0.6180769019191579,0.6166221684737593,0.6374596344325535,0.6469837134439924,0.6479525083649033,0.6427652668702056,0.6316521604924022,0.6258504567727208,0.6257880471372043,0.6380509821817572,0.6349519597760699,0.6402415997204141,0.641345081245782,0.6333145704015307,0.6351584174079763,0.6238819568726091,0.6254767480654994,0.624800896319662,0.6332021378458874,0.635123589626286,0.63617032138345,0.6360340801583168,0.6386342769110914,0.6418986623975035,0.6201100554836813,0.6147506665430007,0.6139831438981259,0.6116493174021489,0.6097677128273368,0.6100508420735721,0.6096303390993482,0.6115819303881218,0.6125568098936561,0.616322260267863,0.6154131469276384,0.6171721214139055,0.6174420415252145,0.6184858244266076,0.6187346300432167,0.6173112076462983,0.6161482347060593,0.6168240566838668,0.6200219295305804,0.6259916755859463,0.6364234254565851,0.6252765345307546,0.6262024348306047,0.6245933383130131,0.6304822201412961,0.6345150815641009,0.6403515039194945,0.644087029928407,0.6467947763351395,0.6490585022001246,0.6472423374220213,0.6498918708003597,0.653230152397849,0.6558370330714068,0.6590568834702301,0.6609880524172965,0.6817703915701941,0.6810009344153648,0.6758582576281652,0.6700333053166881,0.6675207530720554,0.6683904908355336,0.6695471608564246,0.6616996629943784,0.6585105258171384,0.6119433408857369,0.6171255263255131,0.6208214209593322,0.6248935863237391,0.6241565135390827,0.6245470129665334,0.626546132098003,0.6276831528266505,0.6298918941559956,0.6300148000475786,0.630395978158813,0.6308097642395039,0.6334378042207974,0.6347582649272708,0.634976829480344,0.635068066704662,0.6339378966572456,0.6348383680620319,0.6364444159858632,0.6363462932695545,0.6364107372654734,0.637670934352927,0.6383862183766912,0.6429912986095703,0.6423645197150097,0.6495624412354853,0.6519952745666505,0.6563375004380286,0.6574275846009048,0.6622165288716312,0.6709588692765375,0.6786581018225307,0.6889543778627315,0.6901470027975782,0.6935448802353877,0.6958947317580356,0.7270416375823765,0.731356444393569,0.7268282862308325,0.722848057110047,0.7268721197315471,0.729173443967189,0.7274105893502273,0.7260678615899065,0.7269556026631413,0.7295880839348255,0.7309062277975561,0.7339105054225487,0.7325829511871547,0.7314203605216744,0.7319103541737642,0.7332660043053109,0.7381844970095216,0.7376587008885144,0.7388305036476636,0.7372347744534893,0.7425190417118519
SPY,0.4083799258191189,0.403736588751702,0.4025901766185103,0.40672683512476954,0.4139866682146571,0.4292275319682158,0.4324433956416876,0.43989572202047705,0.44278384019326994,0.4435182774432492,0.43552007293737144,0.4343667539037861,0.4338404802104929,0.4351062494840641,0.4371457485260341,0.43463297058529343,0.43490117661856753,0.4377681595141165,0.4362473093226133,0.45544530740098926,0.4688146774215274,0.4761690038125724,0.48429745265615637,0.48007451061053524,0.471973928926009,0.4726411401897938,0.48352255823975643,0.48115247787952375,0.4868706632562081,0.49036021897328846,0.4867652553636779,0.49062623439122993,0.4865113463788571,0.48611810982026854,0.48726545570703345,0.4948866117229975,0.4957104120477081,0.4924738692042277,0.4921958380103546,0.48851987862340157,0.49039238441025085,0.47039942993367423,0.46837893397019476,0.4676047034895267,0.47220602834124065,0.47131006531667935,0.46746018467929257,0.4656646086007054,0.4664858050817899,0.4658353319967916,0.469982960930514,0.47161321546328244,0.4710749925890377,0.47241438205296915,0.47406338776050055,0.4708009197927659,0.4697737264486224,0.4718058840405121,0.4718008604585819,0.4752140203962989,0.4869906722819275,0.4984244117987895,0.4851398657165255,0.4860336840689121,0.48269677987740023,0.48334663527042715,0.4861063465385517,0.4826180240559716,0.4874221107865628,0.48721537247939134,0.487657296592005,0.4839155385544154,0.47923636163677186,0.48705355423393426,0.4860100842116906,0.4900366669582857,0.49060415331320106,0.5019335789963867,0.5004075768188131,0.48712814066631555,0.4802605961328905,0.47870725660118213,0.48399450080324474,0.48343677113040423,0.4828136196206228,0.479589099563232,0.4816672216806109,0.4857095955936777,0.4896362138259387,0.4890504694677107,0.4875653391316533,0.4906756775812249,0.49497093216474747,0.4964619977582971,0.4991545457307461,0.49940780933109213,0.5001035260829378,0.5008230412291066,0.5075798092657768,0.5097287093215682,0.511615132332176,0.5124556471467868,0.5121148275519426,0.5125482657512658,0.5142731791344194,0.5135874862618753,0.5133171452456133,0.5146780838774377,0.5197120579505045,0.5216086404157798,0.5179630584706316,0.5255321301056612,0.530291813416246,0.5397799326331651,0.5398894242226463,0.5499189580239802,0.561789837909439,0.5668135274887637,0.5774642551258933,0.5819621854186555,0.5833262924360488,0.5884510610336026,0.6118765558582542,0.6124790339378855,0.6097807201139588,0.612490396479258,0.6165974235130097,0.6171826787064533,0.6163922427329657,0.6165290770319205,0.6182173767203109,0.6193468690644427,0.6197304502592108,0.6181371057216679,0.6149867874758356,0.6135239585593434,0.6134541120478021,0.6143268081760509,0.618331259629741,0.61744543025445,0.619262169204288,0.6170056437996992,0.6132825130707812
TIP,0.5092739730602825,0.5032742704054242,0.4941084228850221,0.48857506242017495,0.4873133042247757,0.5103311615554597,0.5155633604691702,0.5210830753383309,0.5271388557182511,0.5208704074396265,0.516763531942226,0.5147154035340032,0.5130813659922357,0.5109687862897417,0.5175184226331857,0.5144642728961134,0.5109375284786785,0.5193100928382183,0.5201846783253599,0.5432889326616147,0.549369180331316,0.5549321069028522,0.5684005811641389,0.5706885384979482,0.5660969214877197,0.5670677110474721,0.5772786281171256,0.5760329645518588,0.5824331160161013,0.5787995630509967,0.577428836074258,0.5845629145034474,0.5867057130353753,0.5894162947540119,0.5931464929517485,0.5944925334626618,0.5971922667616584,0.5995150386046505,0.6048296131811561,0.6056062292566299,0.6075597781239176,0.5923984514768378,0.5887459296675278,0.5890265832637344,0.5929364225657087,0.5944494436312296,0.5857349411025258,0.5863286774321802,0.588797605906827,0.5905369700054103,0.5959323423774139,0.5971027505632768,0.5988415748932492,0.6004448039709921,0.6019224463800498,0.6013757266633912,0.6002431596876011,0.6030861336030159,0.601705341427687,0.6027177161770337,0.6107398705368877,0.6135007789705392,0.5966125693312451,0.5965440860208645,0.5905556317540096,0.5937751558187591,0.5967155233328706,0.5863581781714576,0.5917316002967138,0.5858057434558267,0.5860961525637568,0.5818969039122749,0.5803241692560369,0.5808550473164323,0.5734923083310189,0.5790147416144032,0.5803201328037539,0.6004991912469876,0.5950349119940733,0.5877837952638951,0.576860283551384,0.576152331142903,0.5781245836777789,0.5774860248545012,0.57284150362202,0.5657187508476597,0.5311206192958694,0.5350929671956157,0.5371424854060048,0.5388868267146861,0.5365965717842515,0.5361036795021472,0.5379646760647064,0.5386654160366152,0.537113458741846,0.5370792671120369,0.5375188891470118,0.5367040720866669,0.5428424097985258,0.5421334308837248,0.5431974780665967,0.5445093844917025,0.5440046516292322,0.5457873676594135,0.5450080015138491,0.5434694709024986,0.5433561524412244,0.5458205853970064,0.5481191929280761,0.5515467510629941,0.5472837863420416,0.5475429553945882,0.5564555614147734,0.5698713167704437,0.5763875039775845,0.5816396021954557,0.5983830402058676,0.5990292250963593,0.6116358977452435,0.6160669891240405,0.618001484953795,0.6227242188250761,0.6483079319386192,0.6567994822082056,0.6551543544675553,0.656942490045365,0.6615857369960281,0.6655952752715847,0.6667011281106917,0.6696325300593017,0.6746320441258494,0.678443028589049,0.6788112752392953,0.682272024103697,0.6794404977562184,0.6799646959590325,0.6807060149980547,0.6816296067147434,0.6840458161728252,0.6818654262315601,0.6846125098418224,0.686499049312178,0.6880092330384052
TLT,0.33141479154364756,0.3340904833362297,0.3325117586092134,0.33273915895626643,0.34097572004841553,0.35067922346120345,0.3566912708262981,0.36230472328274915,0.36410927614842636,0.3634290142512056,0.36086009091453275,0.3609952572323906,0.36096073026732406,0.35938906016662503,0.36045376272217355,0.3583771768332449,0.36051814663134446,0.35921631924659075,0.3542802791259801,0.36177084536751575,0.38673738588610246,0.3998863823870476,0.41639998041033016,0.42687150981294747,0.42128528445815744,0.4260169457613008,0.4402150259659651,0.44424108897423364,0.4514406693973365,0.4604967960445654,0.45918942841417243,0.4607845008225125,0.45892393269202064,0.4639427950039345,0.4683884606602773,0.47013030308296616,0.46800031894700095,0.46405760026023396,0.46254872549271625,0.4644764739681512,0.46310423193202555,0.445411600581441,0.4407161417174031,0.44014315156955175,0.4496537937346708,0.4456677501165774,0.44663852768133167,0.445484509456326,0.4490209723306746,0.449668407513983,0.4548440834730029,0.45626301899333105,0.45701889548377883,0.45854425445577157,0.460044812521713,0.45674246891482856,0.4557638703862262,0.4610473010469945,0.46222409735097125,0.46619015155646815,0.4761838058193281,0.4823153993714999,0.46932615095706537,0.47052060914940586,0.46841468860441166,0.47128017993017446,0.48144806406235574,0.4841454256089996,0.49758740538830804,0.5018324527138006,0.4968195420741697,0.495822174132805,0.49756076694136486,0.5112168849702028,0.5159430419647427,0.5173339238398401,0.5163750466718028,0.5337369482743864,0.5339138997222799,0.5146915531150315,0.5038962936679754,0.5001579586831554,0.49741940296083054,0.497538699354485,0.4898420412620615,0.47838151213370267,0.4368165378777727,0.43546469826807427,0.4349235472015345,0.4298856067722488,0.4264431350880436,0.4297390418377072,0.42995448950518383,0.429091114670501,0.43050618298549237,0.42785338308270315,0.4283206371780747,0.4212136622437023,0.4254327704626111,0.4277685876462916,0.4299938002642234,0.42917789815185375,0.425085389801451,0.4252629629625049,0.42758847476806433,0.42507058647564055,0.4244444448810318,0.42488461410405787,0.42716544288704056,0.42768311422568295,0.4282083689409473,0.43468391031626213,0.4404030669531353,0.4438446633219179,0.44201167977155836,0.4485509704857689,0.4563020222243855,0.46380140518611607,0.47209130047812725,0.47647190125723987,0.48047512355708094,0.4863151684055073,0.5132318535296987,0.5216669859172548,0.5264633677246215,0.5392964985719907,0.5462298071794631,0.5497830204526778,0.5536797955255798,0.5610844333938045,0.5660078699028048,0.5708129243122883,0.5724189225732187,0.5781314421546858,0.5761605219722336,0.5739269219422778,0.5737101554022918,0.5776544557703519,0.5874515668661452,0.584651171494211,0.585316463553838,0.5844319529332819,0.5902989208602439
VEA,0.453899518725156,0.4497512229399572,0.4453190015052099,0.44365245533731906,0.4531703858457246,0.4653599177170909,0.47208694550923935,0.4727730682750349,0.4744425414484024,0.46775778803750473,0.4648223412317695,0.46150454172011474,0.4580372421093453,0.45749337696548403,0.45793200929248695,0.45669860778638943,0.4563910938652606,0.46080449989196054,0.4598132138115855,0.47322266104539534,0.488319343112014,0.5023088521626985,0.5207085667599051,0.5228789501401712,0.5157314426301838,0.5210215622420932,0.532434146073832,0.534618762125891,0.5411344962751093,0.5453949727886718,0.5401810339124615,0.5359178389485425,0.5327214907565939,0.5370001498759555,0.5385446048316398,0.541174862993342,0.5394642700298568,0.5373825808792819,0.5384464625620652,0.5365494401022485,0.5355251506053084,0.5052975909247662,0.499574924423042,0.5010901355635532,0.501608325933291,0.5008513758158221,0.4968459323268026,0.498288534484775,0.5009429990365177,0.49984640055914803,0.5070455869902885,0.5069774863093532,0.5080397213055364,0.5088696842323971,0.5109788180121567,0.5105932949768639,0.5114954145047311,0.5117339443449227,0.5115142781529542,0.5130990069332496,0.5217972823300416,0.524552225149893,0.507514514077184,0.5040957604169886,0.49554406288648667,0.5022147720293684,0.5117035532434917,0.5170913941122348,0.5238396001731799,0.5213588281428082,0.5188276437319335,0.5161999557935057,0.5179883938125264,0.5286228459070191,0.5263671410901725,0.5287702163686686,0.5321754625605516,0.5790705654853118,0.585025362981948,0.5679880015460043,0.5513807007372288,0.5459601855458728,0.5445551053554435,0.5402662688409404,0.529341562326079,0.5223083880373006,0.549330828428482,0.5507423424786467,0.5489997799099665,0.5461992402359163,0.542212412234535,0.5418259810243707,0.5416030132679402,0.5408102031352807,0.5394112813938226,0.536511989257158,0.535134425681522,0.5341498890365196,0.5357432230698181,0.5368227756986875,0.5422271479973615,0.5417314920052572,0.5382881771534044,0.540681618156941,0.5428636452496326,0.5425788342208921,0.5430476694918313,0.5436422907743635,0.5470249386870178,0.5453158832360562,0.5317381879040856,0.5382944304187994,0.5460909280609234,0.5544940206368971,0.5567900006521186,0.5676602655665789,0.585497188909392,0.597077638190956,0.6112274291049647,0.6160172038475593,0.621798900298952,0.6281915899121812,0.6317078575671469,0.6356532940538668,0.6378330433565126,0.6439828047716228,0.6505174985831675,0.6592183096574242,0.6612913822459671,0.6609181566524758,0.6693587110344682,0.6743605601075582,0.678082632370746,0.682920858123424,0.6838149738694538,0.6860926827657915,0.6878285791682749,0.6889143132713894,0.6959635971390901,0.6926653846161455,0.6935373578991055,0.6903597608948847,0.6964298291693719
VNQ,0.472492571782446,0.4620093478171829,0.4582084886361437,0.45628288307889825,0.46303956199463664,0.48181455339988766,0.4923332573815697,0.5026551128085547,0.515015230171003,0.5161658747470795,0.5112958493335044,0.5095279785349767,0.5133245549041966,0.5119570984550216,0.5193158323217805,0.5179626656293863,0.5187838918816262,0.5199895158126814,0.5176798862930537,0.5238968201317281,0.5443628984031196,0.5555848941973619,0.557305222828142,0.5556282931309479,0.5475674991213911,0.5540449315466421,0.5761564731885473,0.5786395644749004,0.5857729158109913,0.5900823477907561,0.5806574910628117,0.5894897026944607,0.5938459037331748,0.5928282696694489,0.5977608750641504,0.6021840088115727,0.6007207392887812,0.5975513516118646,0.6000045849969939,0.5935925761256443,0.5890814315388694,0.5726174564007501,0.566007078788711,0.5649835640794317,0.5661692199064422,0.56508914562568,0.5551523425585215,0.5569296007203982,0.558357013195403,0.5598260784634305,0.5636503198989512,0.5630802126034865,0.5676624713782791,0.5664644615409519,0.5670631866901602,0.5651643772634157,0.5628010916651861,0.5662940126819926,0.5696538861620115,0.5734298629624028,0.5766231482296712,0.57957259238096,0.559282275733121,0.5608790332775048,0.5620917814711225,0.5586601032594526,0.5650885018142601,0.5580332024112722,0.560446616141065,0.5585204414010168,0.5550661938427658,0.549877872472415,0.5497856633645012,0.5548384628982134,0.5514601732923166,0.5553034718000204,0.5602820794667321,0.5677162766675193,0.5701278085637996,0.5622846552208163,0.5517308091774683,0.5469173318496815,0.5537475142931523,0.5478777875760472,0.5404480977219671,0.5376247308417486,0.5368733320641316,0.5297992472788049,0.5276402150221077,0.5237032390086259,0.5218193556666663,0.5237233180945258,0.5239882290609957,0.52224211734836,0.5207860036549612,0.5188697357714389,0.5178762698181055,0.5172864453930749,0.5185411946169189,0.5199060768659157,0.5193886582126906,0.5206664757596035,0.5182468584124902,0.5197421172255586,0.5204188828043003,0.5234145535377831,0.5228130647417105,0.5253295382688307,0.5286823563347697,0.531425347446059,0.5318980926305902,0.5331723505562723,0.5398068997326687,0.5498883817768833,0.5500560300219483,0.5547757934583609,0.5616884953904498,0.5692556690335563,0.5773386722772414,0.5808157535141709,0.5852232374025698,0.589147063838542,0.5968153963999239,0.6069250408717984,0.6104531694711556,0.612970454527202,0.6176226031449975,0.6203976187042084,0.6208049576600737,0.6244053879609569,0.6336253221355376,0.6394410687589017,0.6402260194635434,0.6423728909090699,0.6449523589977352,0.6448069732276872,0.6464183494870485,0.6468553982654351,0.6494004381814104,0.6481267372579246,0.6471580583194153,0.6463802341953202,0.6501640117425076
