date,strategy,asset,weight
2013-01-31,EW,SPY,0.09999999999997726
2013-01-31,EW,VEA,0.09999999999997726
2013-01-31,EW,EEM,0.09999999999997726
2013-01-31,EW,IEF,0.09999999999997726
2013-01-31,EW,TLT,0.09999999999997726
2013-01-31,EW,TIP,0.09999999999997726
2013-01-31,EW,LQD,0.09999999999997726
2013-01-31,EW,VNQ,0.09999999999997726
2013-01-31,EW,GLD,0.09999999999997726
2013-01-31,EW,DBC,0.09999999999997726
2013-01-31,GMV,SPY,0.17802678130274874
2013-01-31,GMV,VEA,0.0
2013-01-31,GMV,EEM,0.0
2013-01-31,GMV,IEF,0.35
2013-01-31,GMV,TLT,0.0
2013-01-31,GMV,TIP,0.2511970320748441
2013-01-31,GMV,LQD,0.2207761866223346
2013-01-31,GMV,VNQ,0.0
2013-01-31,GMV,GLD,0.0
2013-01-31,GMV,DBC,0.0
2013-01-31,ERC,SPY,0.07164604744687424
2013-01-31,ERC,VEA,0.04811444398432559
2013-01-31,ERC,EEM,0.04238210115484403
2013-01-31,ERC,IEF,0.21761879133567347
2013-01-31,ERC,TLT,0.11771873384056178
2013-01-31,ERC,TIP,0.17518206547017573
2013-01-31,ERC,LQD,0.1560486945855358
2013-01-31,ERC,VNQ,0.048915228353686196
2013-01-31,ERC,GLD,0.06266923301219511
2013-01-31,ERC,DBC,0.059704660816923695
2013-01-31,CTB_ONLY,SPY,0.09426726860949619
2013-01-31,CTB_ONLY,VEA,0.07850548748225729
2013-01-31,CTB_ONLY,EEM,0.03794039328964729
2013-01-31,CTB_ONLY,IEF,0.17298411066575942
2013-01-31,CTB_ONLY,TLT,0.2825348470123368
2013-01-31,CTB_ONLY,TIP,0.10086728950006714
2013-01-31,CTB_ONLY,LQD,0.03781018742051652
2013-01-31,CTB_ONLY,VNQ,0.07621388776849021
2013-01-31,CTB_ONLY,GLD,0.05955966992492792
2013-01-31,CTB_ONLY,DBC,0.05931685832620605
2013-01-31,RB_CTB_BAND,SPY,0.09920374109993868
2013-01-31,RB_CTB_BAND,VEA,0.059997445402896976
2013-01-31,RB_CTB_BAND,EEM,0.04487058052752722
2013-01-31,RB_CTB_BAND,IEF,0.318701794366416
2013-01-31,RB_CTB_BAND,TLT,0.19369883886580694
2013-01-31,RB_CTB_BAND,TIP,0.109000210513661
2013-01-31,RB_CTB_BAND,LQD,5.073703666088035e-14
2013-01-31,RB_CTB_BAND,VNQ,0.05927810073117728
2013-01-31,RB_CTB_BAND,GLD,0.05627797473856435
2013-01-31,RB_CTB_BAND,DBC,0.05897131375401942
2013-02-28,EW,SPY,0.09999999999997726
2013-02-28,EW,VEA,0.09999999999997726
2013-02-28,EW,EEM,0.09999999999997726
2013-02-28,EW,IEF,0.09999999999997726
2013-02-28,EW,TLT,0.09999999999997726
2013-02-28,EW,TIP,0.09999999999997726
2013-02-28,EW,LQD,0.09999999999997726
2013-02-28,EW,VNQ,0.09999999999997726
2013-02-28,EW,GLD,0.09999999999997726
2013-02-28,EW,DBC,0.09999999999997726
2013-02-28,GMV,SPY,0.17598661433931523
2013-02-28,GMV,VEA,0.0
2013-02-28,GMV,EEM,0.0
2013-02-28,GMV,IEF,0.35
2013-02-28,GMV,TLT,0.0
2013-02-28,GMV,TIP,0.24756678537495713
2013-02-28,GMV,LQD,0.22644660028494618
2013-02-28,GMV,VNQ,0.0
2013-02-28,GMV,GLD,0.0
2013-02-28,GMV,DBC,0.0
2013-02-28,ERC,SPY,0.07207662037437526
2013-02-28,ERC,VEA,0.04838033900387236
2013-02-28,ERC,EEM,0.0426515806234915
2013-02-28,ERC,IEF,0.2159880985794269
2013-02-28,ERC,TLT,0.1171332123496821
2013-02-28,ERC,TIP,0.17345948253433782
2013-02-28,ERC,LQD,0.15609887964940128
2013-02-28,ERC,VNQ,0.04925858372228186
2013-02-28,ERC,GLD,0.06378827424425901
2013-02-28,ERC,DBC,0.06116492891979517
2013-02-28,CTB_ONLY,SPY,0.13259006217493113
2013-02-28,CTB_ONLY,VEA,0.09642997197811053
2013-02-28,CTB_ONLY,EEM,0.0175343636722687
2013-02-28,CTB_ONLY,IEF,0.1875236837002051
2013-02-28,CTB_ONLY,TLT,0.314097192156159
2013-02-28,CTB_ONLY,TIP,0.06369030781088549
2013-02-28,CTB_ONLY,LQD,0.0
2013-02-28,CTB_ONLY,VNQ,0.05956585881487366
2013-02-28,CTB_ONLY,GLD,0.059613025703934036
2013-02-28,CTB_ONLY,DBC,0.06895553398892561
2013-02-28,RB_CTB_BAND,SPY,0.09976932458932045
2013-02-28,RB_CTB_BAND,VEA,0.060344590292889654
2013-02-28,RB_CTB_BAND,EEM,0.0448708101113049
2013-02-28,RB_CTB_BAND,IEF,0.3170444717352025
2013-02-28,RB_CTB_BAND,TLT,0.19223243317237018
